model,base_id,split,arm,binding,cell,layer,target_mode,target_token,score,rho,n_tokens,frac_inner_def_name,frac_inner_def_value,frac_outer_def_name,frac_outer_def_value,frac_use_site,frac_return_kw,frac_signature,frac_question_var,frac_question,frac_other,frac_outer_def,frac_inner_def,frac_inner_def_identical,frac_both_defs,frac_question_all,ntok_inner_def_name,ntok_inner_def_value,ntok_outer_def_name,ntok_outer_def_value,ntok_use_site,ntok_return_kw,ntok_signature,ntok_question_var,ntok_question,ntok_other
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,0,inner,4640,297.76373291015625,0.9999997388976563,35,-0.001552754094169623,0.0014458767352837241,0.2896540854977523,0.0003044439565449602,0.0025272629060085544,0.00627837102285387,0.0043136277067023455,0.00882481022580224,0.40492670784999724,0.28327730709088067,0.28995852945429723,-0.00010687735888589888,0.0014458767352837241,0.28985165209541136,0.41375151807579946,1,1,1,1,1,1,3,1,18,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,0,outer,4871,334.8226318359375,0.9999998696236526,35,-0.0017461406771181395,0.0013773031201818207,0.29915039628243,-0.0007794793917391,0.004962880622492815,0.005001062756597385,0.003588321302468366,0.008487940891319193,0.3908948602133564,0.28906272450366405,0.2983709168906909,-0.0003688375569363188,0.0013773031201818207,0.29800207933375455,0.3993828011046756,1,1,1,1,1,1,3,1,18,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,0,margin,-1,-37.05889892578125,1.0000009199910898,35,-0.003299978284350177,0.0008263224865483149,0.37545209520186174,-0.009488671292446202,0.024532771909735785,-0.0052619533734619296,-0.0022394271921882232,0.005781236875651573,0.2781506758737063,0.3355478477860331,0.36596342390941555,-0.002473655797801862,0.0008263224865483149,0.36348976811161365,0.28393191274935786,1,1,1,1,1,1,3,1,18,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,3,inner,4640,297.76373291015625,0.9999999573753865,35,-0.0008332710350898041,0.0013962601337515303,0.27952648332161883,0.0006963108828991787,0.007504336479804188,0.006133373172181305,0.003254815791544371,0.00980105544954752,0.403395174532911,0.2891254186462182,0.280222794204518,0.0005629890986617262,0.0013962601337515303,0.28078578330317977,0.41319622998245853,1,1,1,1,1,1,3,1,18,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,3,outer,4871,334.8226318359375,1.0000000869398173,35,-0.0012025468334376493,0.0014716841133975873,0.28823697521607866,-0.0008795729117277196,0.009454435017264782,0.005584837615850495,0.0019419459681124717,0.009985224430541109,0.3879218850957889,0.2974852192279485,0.2873574023043509,0.00026913727995993807,0.0014716841133975873,0.2876265395843109,0.39790710952633,1,1,1,1,1,1,3,1,18,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,3,margin,-1,-37.05889892578125,1.0000011279742158,35,-0.004169632833743429,0.002077706590625736,0.35822471519649257,-0.013541606995915908,0.025123238918314878,0.0011774213239060367,-0.00860680293651891,0.011464999730307507,0.2635958916974398,0.36465519728330786,0.3446831082005767,-0.0020919262431176927,0.002077706590625736,0.34259118195745897,0.2750608914277473,1,1,1,1,1,1,3,1,18,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,7,inner,4640,297.76373291015625,0.9999999162771018,35,-0.0003442956306845656,0.00518844361521256,0.21708445379692906,0.0014819939828312077,0.00818296736860521,0.0070756520211595186,0.016368101423759995,0.01134220293776177,0.5012576596533154,0.23236273710821187,0.21856644777976028,0.004844147984527994,0.00518844361521256,0.2234105957642883,0.5125998625910771,1,1,1,1,1,1,3,1,18,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,7,outer,4871,334.8226318359375,1.000000155054171,35,-0.0009149245506332881,0.0045690743595114165,0.22195591784071192,0.0004982532270009356,0.009246624688236798,0.005068333836456525,0.01163800781020712,0.008983450585190605,0.50050917386494,0.238446243392549,0.22245417106771284,0.0036541498088781283,0.0045690743595114165,0.22610832087659097,0.5094926244501305,1,1,1,1,1,1,3,1,18,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,7,margin,-1,-37.05889892578125,1.0000020735987982,35,-0.005499858324588915,-0.00040748206750794257,0.26109753727520824,-0.007405983762298801,0.017792981520505687,-0.011060222951284065,-0.02636771745990226,-0.009968836878039702,0.4944951818458241,0.2873264744008812,0.25369155351290945,-0.005907340392096857,-0.00040748206750794257,0.2477842131208126,0.4845263449677844,1,1,1,1,1,1,3,1,18,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,11,inner,4640,297.76373291015625,0.9999999661705444,35,-0.0008513029355954041,0.0044129519890701374,0.13358434485086892,0.0013897558704426367,0.006563960888005705,0.00798061838188556,0.029854324775533195,0.01037431378971176,0.6386962009808067,0.16799479757981528,0.13497410072131155,0.0035616490534747334,0.0044129519890701374,0.13853574977478628,0.6490705147705185,1,1,1,1,1,1,3,1,18,7
