check,passed,detail,if_it_fails
structural_zero_noop (interchange),True,max |Δ logit-diff| = 0.00e+00,"the no-op edit is provably the zero vector, so any movement means the hooks, anchors or dtypes are wrong — every number in the stage is then suspect, including the ones that look good"
structural_zero_pre_mutation (interchange),True,max |Δ logit-diff| = 0.00e+00,"before the mutation the two programs are token-identical, so host and donor states there are the SAME state — movement means the anchors are misaligned"
structural_zero_noop (ceiling),True,max |Δ logit-diff| = 0.00e+00,"the no-op edit is provably the zero vector, so any movement means the hooks, anchors or dtypes are wrong — every number in the stage is then suspect, including the ones that look good"
structural_zero_pre_mutation (ceiling),True,max |Δ logit-diff| = 0.00e+00,"before the mutation the two programs are token-identical, so host and donor states there are the SAME state — movement means the anchors are misaligned"
alignment_converged,True,5/5 fits converged,"you are reading the optimiser, not the model; raise --steps or lower --lr"
alignment_orthonormal,True,max |RᵀR − I| = 3.05e-07,"the subspace is not an orthonormal basis, so the interchange is not a projection and the operator's guarantees do not hold"
ceiling_alive_in_both_arms,True,"ab: +4.025 [+3.923, +4.135]; ba: +4.017 [+3.905, +4.125]","if the HELD-OUT arm cannot be moved even by replacing the whole state, then H5 is untestable and 'the subspace did not transfer' is indistinguishable from 'this arm is not measurable'"
treatment_transfers_like_transport,True,"das +0.997 vs whole_state +0.998, das_answer_control +0.314","the treatment must transfer like installing the entire donor state does. A token or answer account cannot: the held-out arm demands the opposite token, so it predicts reversal or strong attenuation"
das_answer_control_does_not,True,das_answer_control ratio 0.314 against whole_state 0.998,"if an explicit answer direction transfers as well as the treatment does, the held-out arm cannot separate the two accounts and no verdict is licensed"
edit_is_a_real_intervention,True,"the rank-1 edit moved 0.416 of ‖h‖ — 60% of what the whole-state replacement moves (0.697); a large share from rank 1 means the difference is concentrated, see part 3",≈0 means the subspace has no component in the state (nothing happened). A large fraction from a LOW-RANK edit means the direction is aligned with a very high-variance dimension — DAS optimising a lever rather than transporting a state. Transformers have a handful of massive-activation dimensions and an unconstrained rank-1 fit will find them
edit_within_the_state_difference,True,the rank-1 edit moved 0.416 of ‖h‖; the full state difference is 0.697,"an interchange installs part of the donor's state, so it cannot move more than the whole difference does. Exceeding it means the operator is not an interchange — check the basis and the donor"
metric_is_not_just_disruption,True,"a norm-matched RANDOM subspace produces +0.542, 7% of the treatment's +8.119","if a random subspace at the same dose moves the metric nearly as much, the metric is measuring how hard the state was hit, not what was transported. Read says_installed_rate instead of delta_ld"
model_still_answers_a_candidate,True,under the edit the model emits NEITHER candidate on 0.0% of rows,an edit that makes the model emit something else entirely has destroyed the computation rather than redirected it; a logit-diff shift measured through that is not transport
enough_clusters,True,280 base programs in the largest cell,cluster bootstraps over fewer than ~30 bases give intervals too wide to decide anything; E11 ran on 42 and that was already thin
