model,split,style,variant,binding,correct_pole,kind,n_bases,agreement,says_inner_ab,says_inner_ba,margin_corr,chance
deepseek-coder-6.7b,test,binding,direct,source,outer,word,280,1.0,1.0,1.0,0.9639182466529587,0.5
deepseek-coder-6.7b,test,binding,direct,target,inner,word,280,1.0,1.0,1.0,0.7091375756890893,0.5
deepseek-coder-6.7b,test,binding,swapped,source,outer,word,280,1.0,1.0,1.0,0.9175722555488469,0.5
deepseek-coder-6.7b,test,binding,swapped,target,inner,word,280,1.0,1.0,1.0,0.674689133922197,0.5
deepseek-coder-6.7b,test,pyscope,direct,source,outer,word,280,1.0,0.0,0.0,0.7910777289863311,0.5
deepseek-coder-6.7b,test,pyscope,direct,target,inner,word,280,0.7928571428571428,0.8535714285714285,0.8392857142857143,0.6128495868527207,0.5
deepseek-coder-6.7b,test,pyscope,swapped,source,outer,word,280,0.8535714285714285,0.2357142857142857,0.25357142857142856,0.8217598041414217,0.5
deepseek-coder-6.7b,test,pyscope,swapped,target,inner,word,280,1.0,1.0,1.0,0.4875664412035688,0.5
deepseek-coder-6.7b,test,scope,direct,source,outer,word,280,1.0,0.0,0.0,0.9373740557198634,0.5
deepseek-coder-6.7b,test,scope,direct,target,inner,word,280,0.9928571428571429,0.007142857142857143,0.0,0.43640715809108205,0.5
deepseek-coder-6.7b,test,scope,swapped,source,outer,word,280,0.9785714285714285,0.03571428571428571,0.04285714285714286,0.9106564261367119,0.5
deepseek-coder-6.7b,test,scope,swapped,target,inner,word,280,1.0,1.0,1.0,0.8673521429493107,0.5
deepseek-coder-6.7b,test,shadow,direct,source,outer,word,280,1.0,1.0,1.0,0.9651632273302997,0.5
deepseek-coder-6.7b,test,shadow,direct,target,inner,word,280,1.0,1.0,1.0,0.9629790397671254,0.5
deepseek-coder-6.7b,test,shadow,swapped,source,outer,word,280,1.0,0.0,0.0,0.8581079456005789,0.5
deepseek-coder-6.7b,test,shadow,swapped,target,inner,word,280,1.0,0.0,0.0,0.8045778992781235,0.5
deepseek-coder-6.7b,test,value,direct,source,outer,value,280,1.0,0.0,0.0,0.5257163825512798,0.5
deepseek-coder-6.7b,test,value,direct,target,inner,value,280,1.0,1.0,1.0,0.0015251530650058395,0.5
