model,lens,layer,relative_depth,site,condition,condition_kind,condition_order,base_id,family,structure,role_swap,orientation,matched_on,unsafe_program,safe_program,anchor_token_unsafe,anchor_token_safe,anchor_token_same,contrast_prob_unsafe,contrast_prob_safe,delta_contrast_prob,contrast_z_unsafe,contrast_z_safe,delta_contrast_z,entropy_unsafe,entropy_safe,delta_entropy,score_norm_unsafe,score_norm_safe,delta_score_norm,top_positive,top_negative
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_00,command_exec,assign_chain,0,unsafe_minus_safe,same_base,command_exec_assign_chain_00_unsafe,command_exec_assign_chain_00_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_02,command_exec,assign_chain,0,unsafe_minus_safe,same_base,command_exec_assign_chain_02_unsafe,command_exec_assign_chain_02_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_03,command_exec,assign_chain,1,unsafe_minus_safe,same_base,command_exec_assign_chain_03_unsafe,command_exec_assign_chain_03_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_06,command_exec,assign_chain,0,unsafe_minus_safe,same_base,command_exec_assign_chain_06_unsafe,command_exec_assign_chain_06_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_08,command_exec,assign_chain,0,unsafe_minus_safe,same_base,command_exec_assign_chain_08_unsafe,command_exec_assign_chain_08_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_11,command_exec,assign_chain,1,unsafe_minus_safe,same_base,command_exec_assign_chain_11_unsafe,command_exec_assign_chain_11_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_00,command_exec,branch_merge,0,unsafe_minus_safe,same_base,command_exec_branch_merge_00_unsafe,command_exec_branch_merge_00_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_01,command_exec,branch_merge,1,unsafe_minus_safe,same_base,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_07,command_exec,branch_merge,1,unsafe_minus_safe,same_base,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_11,command_exec,branch_merge,1,unsafe_minus_safe,same_base,command_exec_branch_merge_11_unsafe,command_exec_branch_merge_11_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_12,command_exec,branch_merge,0,unsafe_minus_safe,same_base,command_exec_branch_merge_12_unsafe,command_exec_branch_merge_12_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_14,command_exec,branch_merge,0,unsafe_minus_safe,same_base,command_exec_branch_merge_14_unsafe,command_exec_branch_merge_14_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_direct_00,command_exec,direct,0,unsafe_minus_safe,same_base,command_exec_direct_00_unsafe,command_exec_direct_00_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_direct_08,command_exec,direct,0,unsafe_minus_safe,same_base,command_exec_direct_08_unsafe,command_exec_direct_08_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_direct_09,command_exec,direct,1,unsafe_minus_safe,same_base,command_exec_direct_09_unsafe,command_exec_direct_09_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_direct_11,command_exec,direct,1,unsafe_minus_safe,same_base,command_exec_direct_11_unsafe,command_exec_direct_11_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_direct_12,command_exec,direct,0,unsafe_minus_safe,same_base,command_exec_direct_12_unsafe,command_exec_direct_12_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_direct_13,command_exec,direct,1,unsafe_minus_safe,same_base,command_exec_direct_13_unsafe,command_exec_direct_13_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_helper_03,command_exec,helper,1,unsafe_minus_safe,same_base,command_exec_helper_03_unsafe,command_exec_helper_03_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_helper_04,command_exec,helper,0,unsafe_minus_safe,same_base,command_exec_helper_04_unsafe,command_exec_helper_04_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_helper_08,command_exec,helper,0,unsafe_minus_safe,same_base,command_exec_helper_08_unsafe,command_exec_helper_08_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_helper_12,command_exec,helper,0,unsafe_minus_safe,same_base,command_exec_helper_12_unsafe,command_exec_helper_12_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_helper_14,command_exec,helper,0,unsafe_minus_safe,same_base,command_exec_helper_14_unsafe,command_exec_helper_14_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_helper_15,command_exec,helper,1,unsafe_minus_safe,same_base,command_exec_helper_15_unsafe,command_exec_helper_15_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,dynamic_exec_assign_chain_02,dynamic_exec,assign_chain,0,unsafe_minus_safe,same_base,dynamic_exec_assign_chain_02_unsafe,dynamic_exec_assign_chain_02_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,dynamic_exec_assign_chain_04,dynamic_exec,assign_chain,0,unsafe_minus_safe,same_base,dynamic_exec_assign_chain_04_unsafe,dynamic_exec_assign_chain_04_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,dynamic_exec_assign_chain_08,dynamic_exec,assign_chain,0,unsafe_minus_safe,same_base,dynamic_exec_assign_chain_08_unsafe,dynamic_exec_assign_chain_08_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,dynamic_exec_assign_chain_11,dynamic_exec,assign_chain,1,unsafe_minus_safe,same_base,dynamic_exec_assign_chain_11_unsafe,dynamic_exec_assign_chain_11_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,dynamic_exec_assign_chain_14,dynamic_exec,assign_chain,0,unsafe_minus_safe,same_base,dynamic_exec_assign_chain_14_unsafe,dynamic_exec_assign_chain_14_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,dynamic_exec_assign_chain_15,dynamic_exec,assign_chain,1,unsafe_minus_safe,same_base,dynamic_exec_assign_chain_15_unsafe,dynamic_exec_assign_chain_15_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-1.3b,jlens,-1,,last_token,clean_heldout,clean,-1,dynamic_exec_branch_merge_08,dynamic_exec,branch_merge,0,unsafe_minus_safe,same_base,dynamic_exec_branch_merge_08_unsafe,dynamic_exec_branch_merge_08_safe,185,185,1,-0.010132651423046535,-0.010132651423046535,0.0,0.3175683341605709,0.3175683341605709,0.0,5.276671390808563,5.276671390808563,0.0,2.066809892654419,2.066809892654419,0.0,ercial|辛|UST, vulnerable| safe| trusted
