model,base_id,donor_id,split,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,rho_from,rho_to,delta_frac_inner_def_name,delta_frac_inner_def_value,delta_frac_outer_def_name,delta_frac_outer_def_value,delta_frac_use_site,delta_frac_return_kw,delta_frac_signature,delta_frac_question_var,delta_frac_question,delta_frac_other,delta_frac_outer_def,delta_frac_inner_def,delta_frac_inner_def_identical,delta_frac_both_defs,delta_frac_question_all,binding_shift,binding_shift_identical
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,0,inner,1.000000216529227,1.0000000366557549,0.0036677356261342383,-0.0019158063154486211,-0.010019329004837041,-0.004156208288329785,-0.0015367746622764562,0.001528903769727873,-0.005272986932098347,0.006944697869968194,0.008409766830511534,0.0023498212331761192,-0.01417553729316684,0.0017519293106856154,-0.0019158063154486211,-0.012423607982481266,0.015354464700479686,0.015927466603852455,0.012259730977718219
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,3,inner,1.000000235178511,1.0000000597596264,0.004549147898836679,-0.0021707091412067493,-0.01833918702137366,-7.030216653472802e-05,0.002960343136329011,0.0020231563843027276,0.0033253885549028167,0.008638268111518204,0.013365546379887905,-0.014281827555547078,-0.018409489187908384,0.002378438757629931,-0.0021707091412067493,-0.01603105043027847,0.022003814491406093,0.020787927945538315,0.016238780046701637
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,7,inner,1.0000002029925192,1.0000001477573177,0.0020397779219842264,-0.002229152084154605,-0.009000912929347876,-0.0015543280543469547,0.0009374335242843057,0.0012334833492417601,0.010140748054167675,0.004098825736368664,0.013585534569753976,-0.019251465323152417,-0.010555240983694814,-0.0001893741621703804,-0.002229152084154605,-0.010744615145865166,0.017684360306122637,0.010365866821524433,0.008326088899540209
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,11,inner,1.0000001609299596,1.0000001463245196,0.0010286212889464626,-0.002891645802376425,-0.0025448905394598598,-0.00853072729283414,-0.005374875258927844,-0.0016593595369762827,0.009440196385535768,0.0016497753178381716,0.01821783991410597,-0.009334949081291621,-0.011075617832294021,-0.0018630245134299596,-0.002891645802376425,-0.012938642345723977,0.019867615231944136,0.009212593318864062,0.008183972029917597
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,15,inner,1.0000001633700526,1.0000002263821208,0.0026896284964459637,-0.00039523020312630733,-0.008204764110607894,-0.01243142122089283,-0.0062316752419246755,-0.0029378108795823058,0.021721098326144037,0.004943966253919938,0.008428645953892033,-0.007582374362199856,-0.020636185331500724,0.0022943982933196563,-0.00039523020312630733,-0.018341787038181068,0.013372612207812051,0.02293058362482038,0.020240955128374417
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,19,inner,1.000000164183417,1.000000199517154,0.003229302048443723,-0.003657695451536426,-0.008589914429852276,-0.011134316309455427,-0.007316428249265651,-0.0013771519300056542,0.021604885186203945,0.0014762719957473643,0.012047966478619943,-0.0062828840051627755,-0.0197242307393077,-0.00042839340309270245,-0.003657695451536426,-0.0201526241424004,0.013524238474367345,0.019295837336214997,0.016066535287771275
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,0,outer,1.0000004140640764,1.0000002383471625,0.0032845165981216246,-0.0008791629237124643,-0.006166946063428547,-0.005088678040205723,-0.001229824941696822,0.0011084419681449023,-0.0056793564238060215,0.008070513630803626,0.01172869679962113,-0.005148376320755654,-0.011255624103634287,0.0024053536744091594,-0.0008791629237124643,-0.008850270429225093,0.019799210430424763,0.013660977778043447,0.010376461179921824
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,3,outer,1.0000004120546304,1.0000003221655138,0.003640421541831782,-0.0008166041569925547,-0.018966385373787253,-0.0003856677922995421,0.003839858637547924,0.0017397929146101775,0.0040345516559935415,0.009731237490810415,0.016751332513450234,-0.01956862732028125,-0.01935205316608679,0.0028238173848392258,-0.0008166041569925547,-0.016528235781247624,0.02648257000426063,0.022175870550926017,0.018535449009094235
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,7,outer,1.0000002657196814,1.0000003172350225,0.0011161346791098026,-0.0018669613691980934,-0.0103354413412661,-0.0015861541233096132,0.0006508786259857837,0.0012776540494298515,0.010874996716963542,0.0062185938914713565,0.014441690502416227,-0.020791340116261492,-0.011921595464575718,-0.0007508266900882899,-0.0018669613691980934,-0.012672422154664048,0.020660284393887562,0.011170768774487428,0.010054634095377626
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,11,outer,1.0000002407789104,1.0000003426691422,0.0009680675358411019,-0.0017215195618404885,-0.0032459200107824715,-0.008623982946954193,-0.00519084571056055,-0.0015603569796076818,0.010392579667247243,0.001888984628159415,0.01710857934253107,-0.010015484073801983,-0.011869902957736683,-0.0007534520259993849,-0.0017215195618404885,-0.01262335498373604,0.018997563970690468,0.011116450931737298,0.010148383395896195
