example_id,layer,n_steps,sanitized,t_failure,model_ever_wrong,t_latent_jlens,lead_jlens,latent_first_jlens,t_latent_logit,lead_logit,latent_first_logit,t_latent_random,lead_random,latent_first_random,t_latent_probe,lead_probe,latent_first_probe
synthetic_taint_1_770841,-1,7,True,2,True,7.0,-5.0,False,7.0,-5.0,False,7.0,-5.0,False,7.0,-5.0,False
synthetic_taint_1_770841,0,7,True,2,True,7.0,-5.0,False,7.0,-5.0,False,,,False,,,False
synthetic_taint_1_770841,3,7,True,2,True,7.0,-5.0,False,2.0,0.0,False,7.0,-5.0,False,7.0,-5.0,False
synthetic_taint_1_770841,7,7,True,2,True,7.0,-5.0,False,7.0,-5.0,False,2.0,0.0,False,5.0,-3.0,False
synthetic_taint_1_770841,11,7,True,2,True,2.0,0.0,False,8.0,-6.0,False,2.0,0.0,False,7.0,-5.0,False
synthetic_taint_1_770841,15,7,True,2,True,2.0,0.0,False,3.0,-1.0,False,8.0,-6.0,False,7.0,-5.0,False
synthetic_taint_1_770841,19,7,True,2,True,2.0,0.0,False,7.0,-5.0,False,3.0,-1.0,False,,,False
synthetic_taint_1_770841,23,7,True,2,True,2.0,0.0,False,2.0,0.0,False,,,False,,,False
synthetic_taint_0_968660,-1,3,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_968660,0,3,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_968660,3,3,False,2,True,,,False,2.0,0.0,False,,,False,,,False
synthetic_taint_0_968660,7,3,False,2,True,,,False,,,False,2.0,0.0,False,,,False
synthetic_taint_0_968660,11,3,False,2,True,2.0,0.0,False,,,False,2.0,0.0,False,,,False
synthetic_taint_0_968660,15,3,False,2,True,2.0,0.0,False,3.0,-1.0,False,,,False,,,False
synthetic_taint_0_968660,19,3,False,2,True,2.0,0.0,False,,,False,3.0,-1.0,False,,,False
synthetic_taint_0_968660,23,3,False,2,True,2.0,0.0,False,2.0,0.0,False,,,False,,,False
synthetic_taint_0_270176,-1,3,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_270176,0,3,False,2,True,,,False,,,False,4.0,-2.0,False,4.0,-2.0,False
synthetic_taint_0_270176,3,3,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_270176,7,3,False,2,True,,,False,,,False,2.0,0.0,False,3.0,-1.0,False
synthetic_taint_0_270176,11,3,False,2,True,,,False,2.0,0.0,False,4.0,-2.0,False,2.0,0.0,False
synthetic_taint_0_270176,15,3,False,2,True,,,False,2.0,0.0,False,4.0,-2.0,False,,,False
synthetic_taint_0_270176,19,3,False,2,True,,,False,,,False,4.0,-2.0,False,2.0,0.0,False
synthetic_taint_0_270176,23,3,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_620785,-1,3,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_620785,0,3,False,2,True,,,False,,,False,4.0,-2.0,False,4.0,-2.0,False
synthetic_taint_0_620785,3,3,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_620785,7,3,False,2,True,,,False,,,False,2.0,0.0,False,3.0,-1.0,False
synthetic_taint_0_620785,11,3,False,2,True,,,False,2.0,0.0,False,,,False,2.0,0.0,False
synthetic_taint_0_620785,15,3,False,2,True,,,False,2.0,0.0,False,4.0,-2.0,False,,,False
synthetic_taint_0_620785,19,3,False,2,True,,,False,,,False,,,False,2.0,0.0,False
synthetic_taint_0_620785,23,3,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_205943,-1,5,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_205943,0,5,False,2,True,,,False,,,False,,,False,4.0,-2.0,False
synthetic_taint_0_205943,3,5,False,2,True,,,False,4.0,-2.0,False,,,False,,,False
synthetic_taint_0_205943,7,5,False,2,True,,,False,,,False,2.0,0.0,False,2.0,0.0,False
synthetic_taint_0_205943,11,5,False,2,True,,,False,,,False,6.0,-4.0,False,6.0,-4.0,False
synthetic_taint_0_205943,15,5,False,2,True,,,False,2.0,0.0,False,,,False,,,False
synthetic_taint_0_205943,19,5,False,2,True,5.0,-3.0,False,,,False,,,False,,,False
synthetic_taint_0_205943,23,5,False,2,True,5.0,-3.0,False,5.0,-3.0,False,,,False,,,False
synthetic_taint_0_907065,-1,6,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_907065,0,6,False,2,True,,,False,,,False,4.0,-2.0,False,7.0,-5.0,False
synthetic_taint_0_907065,3,6,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_0_907065,7,6,False,2,True,,,False,,,False,2.0,0.0,False,3.0,-1.0,False
synthetic_taint_0_907065,11,6,False,2,True,,,False,2.0,0.0,False,,,False,2.0,0.0,False
synthetic_taint_0_907065,15,6,False,2,True,,,False,2.0,0.0,False,,,False,7.0,-5.0,False
synthetic_taint_0_907065,19,6,False,2,True,,,False,,,False,,,False,2.0,0.0,False
synthetic_taint_0_907065,23,6,False,2,True,,,False,,,False,,,False,,,False
synthetic_taint_1_123646,-1,5,True,2,True,5.0,-3.0,False,5.0,-3.0,False,5.0,-3.0,False,5.0,-3.0,False
synthetic_taint_1_123646,0,5,True,2,True,5.0,-3.0,False,5.0,-3.0,False,5.0,-3.0,False,,,False
synthetic_taint_1_123646,3,5,True,2,True,5.0,-3.0,False,2.0,0.0,False,5.0,-3.0,False,2.0,0.0,False
synthetic_taint_1_123646,7,5,True,2,True,5.0,-3.0,False,5.0,-3.0,False,2.0,0.0,False,,,False
synthetic_taint_1_123646,11,5,True,2,True,6.0,-4.0,False,2.0,0.0,False,,,False,,,False
