model,lens,layer,is_control,next_token_top1,next_token_mrr,n_eval,final_layer_rank_agreement,relevance_conservation,n_candidates,n_lens_samples,weak_fidelity,warnings
deepseek-coder-1.3b,gram_random,-1,1,,,0,0.04680195076859326,,196,0,1,final-layer rank agreement 0.047 < 0.3
deepseek-coder-1.3b,gram_random,0,1,,,0,0.18115830869637978,,196,0,1,final-layer rank agreement 0.181 < 0.3
deepseek-coder-1.3b,gram_random,3,1,,,0,0.0946070173481341,,196,0,1,final-layer rank agreement 0.095 < 0.3
deepseek-coder-1.3b,gram_random,7,1,,,0,0.04396198073137885,,196,0,1,final-layer rank agreement 0.044 < 0.3
deepseek-coder-1.3b,gram_random,11,1,,,0,0.03606172652583095,,196,0,1,final-layer rank agreement 0.036 < 0.3
deepseek-coder-1.3b,gram_random,15,1,,,0,-0.02030660057853677,,196,0,1,final-layer rank agreement -0.020 < 0.3
deepseek-coder-1.3b,gram_random,19,1,,,0,0.09831280032512812,,196,0,1,final-layer rank agreement 0.098 < 0.3
deepseek-coder-1.3b,gram_random,23,1,,,0,0.09238586649028999,,196,0,1,final-layer rank agreement 0.092 < 0.3
deepseek-coder-1.3b,clens,-1,0,,,0,0.16347241590896416,,196,120,1,final-layer rank agreement 0.163 < 0.3
deepseek-coder-1.3b,clens,0,0,,,0,0.3140462510658305,,196,120,0,
deepseek-coder-1.3b,clens,3,0,,,0,0.2810053470822144,,196,120,1,final-layer rank agreement 0.281 < 0.3
deepseek-coder-1.3b,clens,7,0,,,0,0.2575240857764426,,196,120,1,final-layer rank agreement 0.258 < 0.3
deepseek-coder-1.3b,clens,11,0,,,0,0.3579932105602882,,196,120,0,
deepseek-coder-1.3b,clens,15,0,,,0,0.35175473547482256,,196,120,0,
deepseek-coder-1.3b,clens,19,0,,,0,0.5343071504275276,,196,120,0,
deepseek-coder-1.3b,clens,23,0,,,0,0.9999576058459307,,196,120,0,
deepseek-coder-1.3b,logit,-1,0,,,0,0.016193690283610517,,196,0,1,final-layer rank agreement 0.016 < 0.3
deepseek-coder-1.3b,logit,0,0,,,0,0.1622795623520787,,196,0,1,final-layer rank agreement 0.162 < 0.3
deepseek-coder-1.3b,logit,3,0,,,0,0.1617154093187451,,196,0,1,final-layer rank agreement 0.162 < 0.3
deepseek-coder-1.3b,logit,7,0,,,0,0.24004872937070182,,196,0,1,final-layer rank agreement 0.240 < 0.3
deepseek-coder-1.3b,logit,11,0,,,0,0.36035373618404803,,196,0,0,
deepseek-coder-1.3b,logit,15,0,,,0,0.4940986460964707,,196,0,0,
deepseek-coder-1.3b,logit,19,0,,,0,0.651907019738782,,196,0,0,
deepseek-coder-1.3b,logit,23,0,,,0,0.9999579245989689,,196,0,0,
deepseek-coder-1.3b,random,-1,1,,,0,0.016761469132752678,,196,0,1,final-layer rank agreement 0.017 < 0.3
deepseek-coder-1.3b,random,0,1,,,0,-0.005523073735546544,,196,0,1,final-layer rank agreement -0.006 < 0.3
deepseek-coder-1.3b,random,3,1,,,0,-0.006232936751428418,,196,0,1,final-layer rank agreement -0.006 < 0.3
deepseek-coder-1.3b,random,7,1,,,0,0.0028977440253727437,,196,0,1,final-layer rank agreement 0.003 < 0.3
deepseek-coder-1.3b,random,11,1,,,0,0.005697033206097745,,196,0,1,final-layer rank agreement 0.006 < 0.3
deepseek-coder-1.3b,random,15,1,,,0,0.005391548263194384,,196,0,1,final-layer rank agreement 0.005 < 0.3
deepseek-coder-1.3b,random,19,1,,,0,0.0076016224529640046,,196,0,1,final-layer rank agreement 0.008 < 0.3
deepseek-coder-1.3b,random,23,1,,,0,0.025852943285865692,,196,0,1,final-layer rank agreement 0.026 < 0.3
deepseek-coder-1.3b,clrp,-1,0,,,0,-0.1475424937643937,1.0008975863456726,196,120,1,final-layer rank agreement -0.148 < 0.3
deepseek-coder-1.3b,clrp,0,0,,,0,-0.06661332865828877,1.0009057521820068,196,120,1,final-layer rank agreement -0.067 < 0.3
deepseek-coder-1.3b,clrp,3,0,,,0,0.10381455745125072,1.0005069971084595,196,120,1,final-layer rank agreement 0.104 < 0.3
deepseek-coder-1.3b,clrp,7,0,,,0,0.30924204511949255,1.0001534223556519,196,120,0,
deepseek-coder-1.3b,clrp,11,0,,,0,0.4724885846568226,1.000099241733551,196,120,0,
deepseek-coder-1.3b,clrp,15,0,,,0,0.623090470081043,1.0001024305820465,196,120,0,
deepseek-coder-1.3b,clrp,19,0,,,0,0.7801676242539187,1.0000020265579224,196,120,0,
deepseek-coder-1.3b,clrp,23,0,,,0,0.9999576058459307,0.999970406293869,196,120,0,
