model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,base_id,family,structure,orientation,taint_delta_contrast_z,taint_delta_contrast_prob,taint_contrast_z_unsafe,taint_contrast_z_safe,model_delta_margin,model_margin_unsafe,model_margin_safe,model_correct_unsafe,model_correct_safe,security_delta_contrast_z,security_delta_contrast_prob
deepseek-coder-6.7b,jlens,-1,,e6,clean_heldout,clean,-1,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.03125,-0.1171875,-0.0859375,0,1,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,clean_heldout,clean,-1,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.046875,1.046875,1.0,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,encode_only,atomic,13,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.0390625,-0.1484375,-0.109375,0,1,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,encode_only,atomic,13,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.10156261920928955,1.1796875,1.0781248807907104,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,flatten_only,atomic,14,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.015625,-0.03125,-0.046875,0,1,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,flatten_only,atomic,14,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.0,0.5,0.5,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,normalize,baseline,0,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.0546875,-0.1796875,-0.125,0,1,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,normalize,baseline,0,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.046875,1.015625,0.96875,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,opaque_only,atomic,12,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.0625,-0.15625,-0.09375,0,1,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,opaque_only,atomic,12,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.0234375,0.7734375,0.75,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,rename_cumulative,cumulative,21,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.03125,0.234375,0.265625,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,rename_cumulative,cumulative,21,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.015625,0.9218749403953552,0.9062499403953552,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,rename_only,atomic,11,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.046875,0.0,0.046875,0,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,rename_only,atomic,11,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.03125,0.84375,0.8125,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,rename_opaque,cumulative,22,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.015624940395355225,0.5937500596046448,0.609375,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,rename_opaque,cumulative,22,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.015624940395355225,1.125,1.1093750596046448,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,rename_opaque_encode,cumulative,23,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.015625059604644775,0.421875,0.4375000596046448,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,rename_opaque_encode,cumulative,23,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.03125,0.9843750596046448,1.0156250596046448,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,rename_opaque_encode_flatten,cumulative,24,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.0,0.21875,0.21875,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,rename_opaque_encode_flatten,cumulative,24,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.046875,0.640625,0.59375,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,clean_heldout,clean,-1,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.0390625,0.1640625,0.203125,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,clean_heldout,clean,-1,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.0390625,0.9140625,0.875,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,encode_only,atomic,13,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.0390625,0.0,0.0390625,0,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,encode_only,atomic,13,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.02343738079071045,1.0468748807907104,1.0234375,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,flatten_only,atomic,14,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.015625,0.078125,0.09375,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,flatten_only,atomic,14,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.03125,0.3125,0.28125,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,normalize,baseline,0,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.015625,0.0859375,0.1015625,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,normalize,baseline,0,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.0703125,0.921875,0.8515625,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,e6,opaque_only,atomic,12,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,-0.015625,0.15625,0.171875,1,0,0.0,0.0
deepseek-coder-6.7b,jlens,-1,,sink,opaque_only,atomic,12,command_exec_assign_chain_02,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,0.7624695284826519,0.7624695284826519,0.0234375,0.5390625,0.515625,1,0,0.0,0.0
