pair_id,base_id,op_family,split,base_agree,base_detail,counter_agree,counter_detail,irrelevant_agree,irrelevant_detail,text_absent,trichotomy_distinct,answers_disjoint,mutation_distance_ok,anchors_ordered,semantics_agree,verified
base_0000_add,base_0000,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0000_sub_from,base_0000,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0000_double_sub,base_0000,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0001_add,base_0001,add,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0001_sub_from,base_0001,sub_from,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0001_double_sub,base_0001,double_sub,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0001_mod,base_0001,mod,calib,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0002_add,base_0002,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0002_sub_from,base_0002,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0002_mod,base_0002,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0003_add,base_0003,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0003_double_sub,base_0003,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0003_mod,base_0003,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0004_add,base_0004,add,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0004_sub_from,base_0004,sub_from,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0004_double_sub,base_0004,double_sub,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
base_0004_mod,base_0004,mod,test,True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,"trace, interpreter and record agree at every statement",True,True,True,True,True,True,True
