model,split,style,variant,binding,correct_pole,kind,n_bases,agreement,says_inner_ab,says_inner_ba,margin_corr,chance
deepseek-coder-1.3b,test,binding,direct,source,outer,word,140,1.0,1.0,1.0,0.9650581766224492,0.5
deepseek-coder-1.3b,test,binding,direct,target,inner,word,140,1.0,1.0,1.0,0.9745528883175046,0.5
deepseek-coder-1.3b,test,binding,swapped,source,outer,word,140,1.0,1.0,1.0,0.9776263694490047,0.5
deepseek-coder-1.3b,test,binding,swapped,target,inner,word,140,1.0,1.0,1.0,0.9063420557859562,0.5
deepseek-coder-1.3b,test,pyscope,direct,source,outer,word,140,1.0,1.0,1.0,0.9651069597770986,0.5
deepseek-coder-1.3b,test,pyscope,direct,target,inner,word,140,1.0,1.0,1.0,0.8727264165383617,0.5
deepseek-coder-1.3b,test,pyscope,swapped,source,outer,word,140,1.0,1.0,1.0,0.9268748691417201,0.5
deepseek-coder-1.3b,test,pyscope,swapped,target,inner,word,140,1.0,1.0,1.0,0.7745699011446151,0.5
deepseek-coder-1.3b,test,scope,direct,source,outer,word,140,0.9928571428571429,0.02857142857142857,0.02142857142857143,0.9422191594434999,0.5
deepseek-coder-1.3b,test,scope,direct,target,inner,word,140,0.9428571428571428,0.05,0.05,0.8722022328922787,0.5
deepseek-coder-1.3b,test,scope,swapped,source,outer,word,140,1.0,1.0,1.0,0.9359519618337641,0.5
deepseek-coder-1.3b,test,scope,swapped,target,inner,word,140,1.0,1.0,1.0,0.9408554649001963,0.5
deepseek-coder-1.3b,test,shadow,direct,source,outer,word,140,1.0,0.0,0.0,0.8914782767771198,0.5
deepseek-coder-1.3b,test,shadow,direct,target,inner,word,140,1.0,0.0,0.0,0.9205408723933126,0.5
deepseek-coder-1.3b,test,shadow,swapped,source,outer,word,140,1.0,1.0,1.0,0.8693060890348885,0.5
deepseek-coder-1.3b,test,shadow,swapped,target,inner,word,140,1.0,1.0,1.0,0.8792272578120184,0.5
deepseek-coder-1.3b,test,value,direct,source,outer,value,140,1.0,0.0,0.0,0.48775172490897395,0.5
deepseek-coder-1.3b,test,value,direct,target,inner,value,140,0.5857142857142857,0.5785714285714286,0.6642857142857143,0.12576095433209825,0.5
