model,base_id,split,arm,binding,cell,style,variant,question,kind,correct_pole,inner_token,outer_token,logp_inner,logp_outer,margin_inner,margin_correct,says_inner,correct,argmax_token,argmax_is_a_choice,n_prompt_tokens,question_text
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,scope,direct,scope/direct,word,outer,4640,4871,-4.1717000007629395,-2.3247876167297363,-1.8469123840332031,1.8469123840332031,0,1,359,0,35,"
# Question: does f return the z assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,target,ab_target,scope,direct,scope/direct,word,inner,4640,4871,-3.3668227195739746,-2.639350414276123,-0.7274723052978516,-0.7274723052978516,0,0,359,0,35,"
# Question: does f return the z assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,source,ba_source,scope,direct,scope/direct,word,outer,4640,4871,-4.119576454162598,-2.217294454574585,-1.9022819995880127,1.9022819995880127,0,1,359,0,35,"
# Question: does f return the z assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,target,ba_target,scope,direct,scope/direct,word,inner,4640,4871,-3.4431910514831543,-2.4978604316711426,-0.9453306198120117,-0.9453306198120117,0,0,359,0,35,"
# Question: does f return the z assigned inside f or outside f? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,scope,swapped,scope/swapped,word,outer,4640,4871,-2.78045916557312,-2.5155532360076904,-0.2649059295654297,0.2649059295654297,0,1,359,0,35,"
# Question: does f return the z assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,target,ab_target,scope,swapped,scope/swapped,word,inner,4640,4871,-2.1284563541412354,-3.0241072177886963,0.8956508636474609,0.8956508636474609,1,1,359,0,35,"
# Question: does f return the z assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,source,ba_source,scope,swapped,scope/swapped,word,outer,4640,4871,-2.6898388862609863,-2.4968419075012207,-0.19299697875976562,0.19299697875976562,0,1,359,0,35,"
# Question: does f return the z assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0000,test,ba,target,ba_target,scope,swapped,scope/swapped,word,inner,4640,4871,-2.0985591411590576,-2.907513380050659,0.8089542388916016,0.8089542388916016,1,1,359,0,35,"
# Question: does f return the z assigned outside f or inside f? Answer:"
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,binding,direct,binding/direct,word,outer,9526,12915,-0.434892863035202,-1.378143548965454,0.9432506859302521,-0.9432506859302521,1,0,9526,1,35,"
# Question: does f return the inner z or the outer z? Answer: the"
deepseek-coder-6.7b,base_0000,test,ab,target,ab_target,binding,direct,binding/direct,word,inner,9526,12915,-0.23886077105998993,-2.07883620262146,1.83997543156147,1.83997543156147,1,1,9526,1,35,"
# Question: does f return the inner z or the outer z? Answer: the"
deepseek-coder-6.7b,base_0000,test,ba,source,ba_source,binding,direct,binding/direct,word,outer,9526,12915,-0.4538028836250305,-1.3351218700408936,0.881318986415863,-0.881318986415863,1,0,9526,1,35,"
# Question: does f return the inner z or the outer z? Answer: the"
deepseek-coder-6.7b,base_0000,test,ba,target,ba_target,binding,direct,binding/direct,word,inner,9526,12915,-0.25681811571121216,-1.942225694656372,1.68540757894516,1.68540757894516,1,1,9526,1,35,"
# Question: does f return the inner z or the outer z? Answer: the"
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.4915890097618103,-1.2210774421691895,0.7294884324073792,-0.7294884324073792,1,0,9526,1,35,"
# Question: does f return the outer z or the inner z? Answer: the"
deepseek-coder-6.7b,base_0000,test,ab,target,ab_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.1848578304052353,-2.3811259269714355,2.1962680965662003,2.1962680965662003,1,1,9526,1,35,"
# Question: does f return the outer z or the inner z? Answer: the"
