task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
binding,-1,comment_prose,0,0.0,0.7524099441907661,1971
binding,-1,comment_prose,50,57.0,0.7569761542364282,1971
binding,-1,comment_prose,100,115.0,0.7600202942668696,1971
binding,-1,comment_prose,200,202.0,0.7574835109081685,1971
binding,-1,comment_prose,500,529.0,0.756468797564688,1971
binding,-1,competing_update,0,0.0,0.7539320142059868,1971
binding,-1,competing_update,50,55.0,0.7680203045685279,1970
binding,-1,competing_update,100,103.0,0.7686453576864536,1971
binding,-1,competing_update,200,205.0,0.7686453576864536,1971
binding,-1,competing_update,500,505.0,0.7684103605891316,1969
binding,-1,competing_update,1000,1002.0,0.7096774193548387,62
binding,-1,dead_code,0,0.0,0.7524099441907661,1971
binding,-1,dead_code,50,51.0,0.7975843398583924,2401
binding,-1,dead_code,100,103.0,0.8204212781149589,2801
binding,-1,dead_code,200,207.0,0.7136906414884754,3601
binding,-1,dead_code,500,529.0,0.6426478193414928,5801
binding,-1,dead_code,1000,1009.0,0.5344,6875
binding,-1,lexical_decoy,0,0.0,0.7559614408929477,1971
binding,-1,lexical_decoy,50,71.0,0.8166089965397924,2601
binding,-1,lexical_decoy,100,119.0,0.8127290903032323,3001
binding,-1,lexical_decoy,200,215.0,0.7628458498023716,3795
binding,-1,lexical_decoy,500,519.0,0.7059319177620492,5934
binding,-1,lexical_decoy,1000,1023.0,0.5906962222916016,6406
binding,-1,scope_shadow,0,0.0,0.7590055809233891,1971
binding,-1,scope_shadow,50,53.0,0.48912783751493427,4185
binding,-1,scope_shadow,100,107.0,0.3342297349212447,7809
binding,-1,scope_shadow,200,219.0,0.1925478660267327,19377
binding,-1,scope_shadow,500,519.0,0.08881995183476876,73497
binding,-1,scope_shadow,1000,1019.0,0.0357579433583726,214330
binding,0,comment_prose,0,0.0,0.9898528665651953,1971
binding,0,comment_prose,50,57.0,0.8878741755454084,1971
binding,0,comment_prose,100,115.0,0.8751902587519026,1971
binding,0,comment_prose,200,202.0,0.8711314053779807,1971
binding,0,comment_prose,500,529.0,0.8300355149670218,1971
binding,0,competing_update,0,0.0,0.989345509893455,1971
binding,0,competing_update,50,55.0,0.915228426395939,1970
binding,0,competing_update,100,103.0,0.8888888888888888,1971
binding,0,competing_update,200,205.0,0.8843226788432268,1971
binding,0,competing_update,500,505.0,0.8740477399695277,1969
binding,0,competing_update,1000,1002.0,0.8225806451612904,62
binding,0,dead_code,0,0.0,0.9888381532217149,1971
binding,0,dead_code,50,51.0,0.95085381091212,2401
binding,0,dead_code,100,103.0,0.9585862192074259,2801
binding,0,dead_code,200,207.0,0.8211607886698139,3601
binding,0,dead_code,500,529.0,0.8145147388381313,5801
binding,0,dead_code,1000,1009.0,0.7502545454545455,6875
binding,0,lexical_decoy,0,0.0,0.9883307965499746,1971
binding,0,lexical_decoy,50,71.0,0.9357939254133025,2601
binding,0,lexical_decoy,100,119.0,0.898700433188937,3001
binding,0,lexical_decoy,200,215.0,0.8397891963109354,3795
binding,0,lexical_decoy,500,519.0,0.8538928210313448,5934
binding,0,lexical_decoy,1000,1023.0,0.8087730252887918,6406
