model,base_id,donor_id,split,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,rho_from,rho_to,delta_frac_inner_def_name,delta_frac_inner_def_value,delta_frac_outer_def_name,delta_frac_outer_def_value,delta_frac_use_site,delta_frac_return_kw,delta_frac_signature,delta_frac_suffix,delta_frac_other,delta_frac_outer_def,delta_frac_inner_def,delta_frac_inner_def_identical,delta_frac_both_defs,binding_shift,binding_shift_identical
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,0,bound,0.9999998260180687,1.0000028757135482,0.20313567329584342,-0.315432910474017,0.33128012926377803,0.2610770658448174,-0.14476384748791468,0.10554714734901031,1.7228545434226166,-1.9277710864874877,-0.2359236650311661,0.5923571951085955,-0.11229723717817358,-0.315432910474017,0.4800599579304219,-0.7046544322867692,-0.9077901055826125
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,3,bound,0.9999998814301221,1.0000035660278708,0.1520900457887819,-0.19704535429457368,-0.11094288707773514,0.3700686178946362,-0.1636193425849416,0.21966339649885233,1.1457419695467645,-2.0852063501729465,0.6692535889989106,0.25912573081690105,-0.04495530850579177,-0.19704535429457368,0.21417042231110928,-0.3040810393226928,-0.45617108511147475
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,7,bound,0.9999999428004611,1.0000038700523133,0.15865328024853786,-0.653059440947453,-0.47070844458897415,0.9059473408743756,0.07441292621355498,0.07151793770838882,0.7852587280019879,-2.3307737100338226,1.4587553097752568,0.43523889628540147,-0.4944061606989152,-0.653059440947453,-0.05916726441351383,-0.9296450569843167,-1.0882983372328545
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,11,bound,0.9999999041378098,1.0000045961342172,0.08931754129121386,-0.017172739483688568,-0.8798340267913072,0.7398773948038723,-0.03672797503631654,0.08927448009842343,1.1884813357278317,-3.101973453503239,1.9287621348896173,-0.13995663198743485,0.07214480180752528,-0.017172739483688568,-0.06781183017990955,0.21210143379496013,0.12278389250374629
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,15,bound,0.9999999891426801,1.00000320119854,0.07842655065908562,-0.11495795248383947,-1.2455729187266475,0.8181360154870668,-0.31286681002055994,0.008235166495654351,1.0712923678552841,-2.111319491694492,1.808630284484308,-0.42743690323958067,-0.03653140182475384,-0.11495795248383947,-0.4639683050643345,0.39090550141482683,0.31247895075574117
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,19,bound,0.9999998726251007,1.0000023213160365,0.1879758052567896,-0.5111748221865611,-1.2584514248363257,-0.38542570823649974,-0.0018069079538225296,0.12367817160431654,0.7861109557707363,-0.5569012244490931,1.6159976037213957,-1.6438771330728255,-0.32319901692977143,-0.5111748221865611,-1.9670761500025968,1.320678116143054,1.1327023108862644
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,0,other,1.000000325419994,1.0000005070964313,0.19011463252082594,0.48551837346803134,-0.1909821824744715,-0.2978292320040586,-0.15233256604606946,0.10491254953682513,1.5438462839854488,-1.8134164652364742,0.13016878792637931,-0.48881141447853005,0.6756330059888573,0.48551837346803134,0.18682159151032718,1.1644444204673874,0.9743297879465613
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,3,other,1.0000002867174826,1.0000000077301285,0.15021437776816443,0.7128602179675614,-0.4493270728136618,-0.43040005708453966,-0.16529983446211896,0.20035387134533253,0.9974900014486682,-1.953462175499567,0.9375703923428066,-0.8797271298982015,0.8630745957357258,0.7128602179675614,-0.016652534162475696,1.7428017256339272,1.5925873478657628
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,7,other,1.0000002014849854,1.0000002319038557,0.1865358609797108,0.5974352716830031,-0.5665230797226939,-0.29334833085691003,0.06187573076827254,0.07007766384611178,0.6983782021024623,-2.1821004754760813,1.4276691870949951,-0.8598714105796039,0.7839711326627139,0.5974352716830031,-0.07590027791688997,1.6438425432423178,1.457306682262607
deepseek-coder-1.3b,base_0000,base_0152,calib,flip_ab_mismatched,mismatched,90,1,no_shift,11,other,1.0000002759909439,1.000000674067207,0.0972235296680048,1.3473273976540183,-0.8260763910595821,-0.4589300724280776,-0.009095971212034122,0.08123451505136849,1.0153300626836002,-3.1285104219717286,1.8814977496906937,-1.2850064634876597,1.4445509273220232,1.3473273976540183,0.1595444638343635,2.729557390809683,2.632333861141678
