model,split,lens,layer,site,token_id,token,mean_delta_z,rank,sign_consistency,is_concept_unsafe,is_concept_safe,is_random_control,n_pairs
deepseek-coder-6.7b,train,clens,-1,sink_arg,24281, vulnerable,-0.00010911481054892835,96,0.13095238095238096,1,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,5723, safe,-0.03479754076551887,195,0.10714285714285714,0,1,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,18532, trusted,-0.0159642039416134,175,0.09523809523809523,0,1,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,3910, clean,0.00454125769962354,65,0.125,0,1,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,5482, followed,-0.016409732470747257,176,0.08333333333333333,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,14513,osity,-0.0057917787956272065,129,0.13095238095238096,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,20865,mart,-0.004805879919298447,124,0.13095238095238096,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,13549, complement,0.013168906173689002,32,0.1488095238095238,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,30969,Clean,0.036425733917589534,3,0.15476190476190477,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,13987,刀,-0.011592857077882704,158,0.09523809523809523,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,2420,ait,-0.007468036006348299,136,0.11904761904761904,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,22280,umble,0.015923356119580782,24,0.15476190476190477,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,25633, SF,0.001341357907813324,83,0.1130952380952381,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,26082,tbl,0.01901430781757466,19,0.15476190476190477,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,15390,God,-0.0008157282492506654,104,0.11904761904761904,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,2803,ista,0.006654642453160458,53,0.13095238095238096,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,26003,hur,0.020497436236329894,17,0.1488095238095238,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,20651, accompany,0.005066593309773521,59,0.13690476190476192,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,28322,ahn,-0.01595200329345833,174,0.08928571428571429,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,25269,shaped,-0.011369818058110647,155,0.11904761904761904,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,13289,plus,0.004394828090968414,67,0.13095238095238096,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,5628,eff,0.008654996878546565,44,0.14285714285714285,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,11069,ulo,-0.01490199804356649,169,0.125,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,29773,>= ,0.002896521996945273,74,0.125,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,25142, caut,-0.015148403835285026,170,0.09523809523809523,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,10088, recovery,0.002529519584173064,76,0.13690476190476192,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,6010,sem,0.0014008950032760963,81,0.13690476190476192,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,10205,ki,-0.0006825434559571507,100,0.125,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,8109,精神,0.005156254892502362,57,0.125,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,5781,aby,0.0069871978393930305,51,0.15476190476190477,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,4880,pty,-0.005443192692391743,126,0.1130952380952381,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,29982,War,0.002948497777628669,73,0.13095238095238096,0,0,0,168
deepseek-coder-6.7b,train,clens,-1,sink_arg,30534, tuple,-0.012703425364094792,161,0.10714285714285714,0,0,0,168
