model,layer,site,pole,rank_within_pole,token_id,token,loading,overlap_with_same_label_direction
deepseek-coder-6.7b,-1,last_token,unsafe_higher,0,16,1,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,1,17,2,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,2,18,3,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,3,19,4,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,4,20,5,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,5,21,6,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,6,22,7,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,7,23,8,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,8,24,9,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,9,25,:,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,10,26,;,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,11,27,<,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,12,28,=,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,13,29,>,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,14,30,?,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,15,31,@,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,16,32224,,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,17,32225,,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,18,32226,,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,19,32227,,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,20,32228,,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,21,32229,,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,22,32230,,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,23,32231,,0.0,1.0
deepseek-coder-6.7b,-1,last_token,unsafe_higher,24,32232,,0.0,1.0
