check,passed,required,value,threshold,detail
W1_corpus_independent,True,True,,,"100 fitting prompts from NeelNanda/pile-10k (digest 483c1e1743d1), 160 eval prompts, 0 exact and 0 substring overlaps at 120 chars"
W2_matched_pair,True,True,,,"matched on model.hf_id, model.dtype, model.n_layers, model.d_model, model.bos_prepended, model.bos_forced, model.bos_declared, recipe.target_layer, recipe.source_layers, recipe.skip_first, recipe.max_seq_len, corpus.digest, corpus.n_prompts, dim_batch, n_prompts_used"
W3_readout_identity_anchor,True,True,0.0,0.02,max |delta logit| = 0.0000 on a scale of 25.8; top-1 agreement 1.000 over 28 positions
W3b_unembed_is_model_tail,True,True,0.02348993346095085,0.0625,max relative logit difference 2.35e-02 against the causal-LM head (tolerance 6.2e-02 is one rounding step of the compute dtype)
W4_relp_forward_invariant,True,True,0.02040816326530612,0.1711632992203644,"max relative deviation 2.04e-02 over 4 prompts (hidden 2.04e-02, logits 1.93e-02); tolerance 1.71e-01 is the bfloat16 rounding floor at depth 30 — W5e is the exact per-module check"
W5a_ln_rule_bound,True,True,,,LN-rule on 0 RMSNorm + 61 LayerNorm of 61 residual norms; 0 q/k norms left unmodified as published
W5b_identity_rule_bound,True,True,,,identity-rule on 30 activations ({'gelu_tanh': 30}); 0 unrecognised
W5c_half_rule_status,True,True,,,half-rule n/a: 0 gated MLPs of 0; 30 ungated MLPs have no gate to split
W5d_attention_untouched,True,False,,,"30 attention blocks and all linear layers left unmodified, as published"
W5e_forward_deviation_bounded,True,True,3.814697265625e-06,0.01,largest per-module forward deviation any rewrite introduced: 3.81e-06
W5f_rlens_differs_from_jlens,True,True,101740.26966588582,0.001,"relative Frobenius difference across 29 layers: min 1.465e-01, max 1.017e+05"
W6_build_repeatable,False,False,,,SKIPPED — no half-corpus lenses; re-run stage 201 with --halves
W7_ascii_face[j-lens],False,False,34.0,25.0,best rank for 'nose' is 34 at layer 27 (final-layer rank 106)
W7_ascii_face[r-lens],False,False,64.0,25.0,best rank for 'nose' is 64 at layer 27 (final-layer rank 106)
W7_ascii_face[logit-lens],True,False,20.0,25.0,best rank for 'nose' is 20 at layer 27 (final-layer rank 106)
