model,split,correct_only,layer,target_condition,statistic,role,token_identical,mean_delta_ab,mean_delta_ba,median_delta_ab,median_delta_ba,sign_consistency_ab,sign_consistency_ba,signs_agree,arm_ratio,both_significant_sign
deepseek-coder-1.3b,test,0,0,fixed_inner,binding_shift,binding_shift,0,-0.01694271276041634,-0.016732787247716523,-0.016029595658262702,-0.014941862483154773,0.05714285714285714,0.03571428571428571,1,0.9876096870868123,1
deepseek-coder-1.3b,test,0,0,fixed_inner,binding_shift_identical,binding_shift_identical,1,-0.014697306425081085,-0.014664946950642488,-0.01400054502405108,-0.015036911173409839,0.007142857142857143,0.02857142857142857,1,0.9977982717715285,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_both_defs,both_defs,0,0.010713002043915388,0.011007296434268335,0.01032658586125021,0.010473582037678009,0.8928571428571429,0.9,1,1.027470767684591,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_inner_def,inner_def,0,-0.003114855358250476,-0.002862745406724095,-0.003577151674577404,-0.003468518169401558,0.29285714285714287,0.32142857142857145,1,0.9190620678874849,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_inner_def_identical,inner_def_identical,1,-0.0008694490229152201,-0.0007949051096500597,-0.0008964736494840417,-0.0005379422070605103,0.38571428571428573,0.42142857142857143,1,0.9142630432601807,0
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_inner_def_name,inner_def_name,0,-0.0022454063353352554,-0.002067840297074035,-0.0029956693663196828,-0.0030934571363641257,0.35,0.36428571428571427,1,0.9209203094037284,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_inner_def_value,inner_def_value,1,-0.0008694490229152201,-0.0007949051096500597,-0.0008964736494840417,-0.0005379422070605103,0.38571428571428573,0.42142857142857143,1,0.9142630432601807,0
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_other,other,1,-0.0028577595676638817,-0.002487894125089693,-0.0029297523743340437,-0.003084937985786823,0.3142857142857143,0.32857142857142857,1,0.8705750313079904,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_outer_def,outer_def,1,0.013827857402165864,0.01387004184099243,0.013363084734181102,0.013867877583213756,0.9928571428571429,0.9857142857142858,1,1.0030506851206,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_outer_def_name,outer_def_name,1,0.017825256642402153,0.017651122498782756,0.016762675440244457,0.017254318456092127,1.0,1.0,1,0.9902310442361221,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_outer_def_value,outer_def_value,1,-0.003997399240236291,-0.003781080657790327,-0.0039039787919667177,-0.0035824617318639994,0.05714285714285714,0.04285714285714286,1,0.9458851694700433,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_question,question,1,0.00924267385327507,0.008711876182850893,0.008539279031187924,0.008346729699245409,0.8714285714285714,0.8642857142857143,1,0.9425709833701323,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_question_all,question_all,1,0.012115213057734947,0.011521873950880073,0.011471716614549377,0.011091229793704,0.9357142857142857,0.9285714285714286,1,0.9510252849844801,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_question_var,question_var,1,0.002872539204459874,0.002809997768029175,0.0029006196419226714,0.002791509526278003,0.9785714285714285,0.9785714285714285,1,0.9782278214571979,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_return_kw,return_kw,1,0.000724842444316382,0.0008929124499076105,0.0009653827121306053,0.0013055287559448,0.6642857142857143,0.6928571428571428,1,1.2318710871708674,1
deepseek-coder-1.3b,test,0,0,fixed_inner,delta_frac_signature,signature,1,-0.011131369592613512,-0.011264096453424344,-0.01066509123388286,-0.010186049090044983,0.06428571428571428,0.05,1,1.0119236774690246,1
