model,lens,layer,relative_depth,site,condition,condition_kind,condition_order,base_id,family,structure,role_swap,orientation,matched_on,unsafe_program,safe_program,anchor_token_unsafe,anchor_token_safe,anchor_token_same,contrast_prob_unsafe,contrast_prob_safe,delta_contrast_prob,contrast_z_unsafe,contrast_z_safe,delta_contrast_z,top_positive,top_negative
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_00,command_exec,assign_chain,0,unsafe_minus_safe,same_base,command_exec_assign_chain_00_unsafe,command_exec_assign_chain_00_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_02,command_exec,assign_chain,0,unsafe_minus_safe,same_base,command_exec_assign_chain_02_unsafe,command_exec_assign_chain_02_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_03,command_exec,assign_chain,1,unsafe_minus_safe,same_base,command_exec_assign_chain_03_unsafe,command_exec_assign_chain_03_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_06,command_exec,assign_chain,0,unsafe_minus_safe,same_base,command_exec_assign_chain_06_unsafe,command_exec_assign_chain_06_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_08,command_exec,assign_chain,0,unsafe_minus_safe,same_base,command_exec_assign_chain_08_unsafe,command_exec_assign_chain_08_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_assign_chain_11,command_exec,assign_chain,1,unsafe_minus_safe,same_base,command_exec_assign_chain_11_unsafe,command_exec_assign_chain_11_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_00,command_exec,branch_merge,0,unsafe_minus_safe,same_base,command_exec_branch_merge_00_unsafe,command_exec_branch_merge_00_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_01,command_exec,branch_merge,1,unsafe_minus_safe,same_base,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_07,command_exec,branch_merge,1,unsafe_minus_safe,same_base,command_exec_branch_merge_07_unsafe,command_exec_branch_merge_07_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_11,command_exec,branch_merge,1,unsafe_minus_safe,same_base,command_exec_branch_merge_11_unsafe,command_exec_branch_merge_11_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
deepseek-coder-6.7b,jlens,-1,,last_token,clean_heldout,clean,-1,command_exec_branch_merge_12,command_exec,branch_merge,0,unsafe_minus_safe,same_base,command_exec_branch_merge_12_unsafe,command_exec_branch_merge_12_safe,185,185,1,-0.009832875083028669,-0.009832875083028669,0.0,-0.39069109887036685,-0.39069109887036685,0.0,ercial|辛|UST, vulnerable| safe| trusted
