model,layer,direction,rank,token_id,token,meaning,in_lexicon
deepseek-coder-6.7b,0,positive,0,19984,Moreover,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,1,1771,oot,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,2,3252,ols,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,3,10308,ais,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,4,22647,eval,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,5,5345,母,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,6,26024,anners,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,7,30072, crops,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,8,4419,ooth,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,9,5100,eix,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,10,29841,slow,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,11,6005,iform,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,12,18144,oly,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,13,21405, acknowledge,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,14,27749,窝,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,15,24272,Furthermore,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,16,27005,isse,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,17,31772,ivari,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,18,19570,hind,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,19,20900,Constants,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,20,16393,Further,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,21,14415,uma,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,22,26652,Throw,higher under the INNER binding,0
deepseek-coder-6.7b,0,positive,23,17337,illo,higher under the INNER binding,0
deepseek-coder-6.7b,0,negative,0,15686,rb,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,1,9289, Angel,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,2,23908, gem,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,3,31833,powered,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,4,8218, George,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,5,434,nt,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,6,17700,rug,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,7,31218,George,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,8,17153, GN,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,9,29793,gap,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,10,15433, Rub,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,11,30719,fake,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,12,18514, Pri,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,13,10643,dep,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,14,18978,origin,higher under the OUTER binding,0
deepseek-coder-6.7b,0,negative,15,30876,不停,higher under the OUTER binding,0
