pair_id,base_id,template,op_family,split,variant,bound_value,bound_answer,other_answer,logp_bound,logp_other,logit_diff,correct,argmax_token_id,argmax_is_bound_answer,both_counterfactuals_correct
base_0000_affine,base_0000,global_shadow,affine,test,source,2,5,7,-0.6455041766166687,-2.2392542362213135,1.5937500596046448,True,20,True,False
base_0000_affine,base_0000,global_shadow,affine,test,target,4,7,5,-2.8834409713745117,-0.2584409713745117,-2.625,False,20,False,False
base_0000_threshold,base_0000,global_shadow,threshold,test,source,2,0,1,-0.7563447952270508,-0.6938447952270508,-0.0625,False,16,False,False
base_0000_threshold,base_0000,global_shadow,threshold,test,target,4,1,0,-0.6721011400222778,-0.7346011400222778,0.0625,True,16,True,False
base_0001_affine,base_0001,call_frame,affine,calib,source,2,4,8,-1.295689582824707,-0.920689582824707,-0.375,False,23,False,False
base_0001_affine,base_0001,call_frame,affine,calib,target,6,8,4,-1.078248381614685,-1.140748381614685,0.0625,True,23,True,False
base_0001_threshold,base_0001,call_frame,threshold,calib,source,2,0,1,-0.949188232421875,-0.605438232421875,-0.34375,False,16,False,False
base_0001_threshold,base_0001,call_frame,threshold,calib,target,6,1,0,-0.6101499199867249,-0.8913999199867249,0.28125,True,16,True,False
base_0002_affine,base_0002,padded_shadow,affine,calib,source,6,8,9,-1.038244605064392,-2.1319947242736816,1.0937501192092896,True,23,True,False
base_0002_affine,base_0002,padded_shadow,affine,calib,target,7,9,8,-1.760123610496521,-1.041373610496521,-0.71875,False,23,False,False
base_0002_threshold,base_0002,padded_shadow,threshold,calib,source,6,0,1,-0.9456263184547424,-0.5393763184547424,-0.40625,False,16,False,False
base_0002_threshold,base_0002,padded_shadow,threshold,calib,target,7,1,0,-0.5802375078201294,-0.8614875078201294,0.28125,True,16,True,False
base_0003_affine,base_0003,global_shadow,affine,test,source,2,6,8,-0.8093045949935913,-1.7468045949935913,0.9375,True,21,True,False
base_0003_affine,base_0003,global_shadow,affine,test,target,3,8,6,-1.24937903881073,-1.09312903881073,-0.15625,False,21,False,False
base_0003_threshold,base_0003,global_shadow,threshold,test,source,2,0,1,-0.7184881567955017,-0.7184881567955017,0.0,False,15,True,False
base_0003_threshold,base_0003,global_shadow,threshold,test,target,3,1,0,-0.6406962871551514,-0.7656962871551514,0.125,True,16,True,False
base_0004_affine,base_0004,call_frame,affine,test,source,4,5,3,-0.6441951394081116,-1.7066950798034668,1.0624999403953552,True,20,True,True
base_0004_affine,base_0004,call_frame,affine,test,target,2,3,5,-0.8555965423583984,-1.1368465423583984,0.28125,True,18,True,True
base_0004_threshold,base_0004,call_frame,threshold,test,source,4,1,0,-0.8429186344146729,-0.8116686344146729,-0.03125,False,15,False,False
base_0004_threshold,base_0004,call_frame,threshold,test,target,2,0,1,-0.7845370769500732,-0.6907870769500732,-0.09375,False,16,False,False
base_0005_affine,base_0005,padded_shadow,affine,test,source,2,6,9,-2.1414551734924316,-2.2977051734924316,0.15625,True,16,False,True
base_0005_affine,base_0005,padded_shadow,affine,test,target,5,9,6,-1.8357027769088745,-2.273202896118164,0.43750011920928955,True,20,False,True
base_0005_threshold,base_0005,padded_shadow,threshold,test,source,2,0,1,-0.8633595108985901,-0.7071095108985901,-0.15625,False,16,False,False
base_0005_threshold,base_0005,padded_shadow,threshold,test,target,5,1,0,-0.6720770001411438,-0.8283270001411438,0.15625,True,16,True,False
base_0006_affine,base_0006,global_shadow,affine,test,source,4,5,7,-0.596329391002655,-2.5650794506073,1.9687500596046448,True,20,True,False
base_0006_affine,base_0006,global_shadow,affine,test,target,6,7,5,-1.351662516593933,-0.8672875165939331,-0.484375,False,20,False,False
base_0006_threshold,base_0006,global_shadow,threshold,test,source,4,0,1,-0.8988820314407349,-0.5863820314407349,-0.3125,False,16,False,False
base_0006_threshold,base_0006,global_shadow,threshold,test,target,6,1,0,-0.6783062219619751,-0.7408062219619751,0.0625,True,16,True,False
base_0007_affine,base_0007,call_frame,affine,test,source,2,5,6,-0.5073304176330566,-2.1323304176330566,1.625,True,20,True,False
base_0007_affine,base_0007,call_frame,affine,test,target,3,6,5,-2.9093308448791504,-0.37808090448379517,-2.5312499403953552,False,20,False,False
base_0007_threshold,base_0007,call_frame,threshold,test,source,2,0,1,-0.7206628322601318,-0.7831628322601318,0.0625,True,15,True,True
base_0007_threshold,base_0007,call_frame,threshold,test,target,3,1,0,-0.6892597079277039,-0.7517597079277039,0.0625,True,16,True,True
base_0008_affine,base_0008,padded_shadow,affine,calib,source,4,5,8,-1.3644328117370605,-1.9581828117370605,0.59375,True,20,True,False
base_0008_affine,base_0008,padded_shadow,affine,calib,target,7,8,5,-1.7539464235305786,-1.6914464235305786,-0.0625,False,22,False,False
base_0008_threshold,base_0008,padded_shadow,threshold,calib,source,4,0,1,-0.7391345500946045,-0.8016345500946045,0.0625,True,15,True,False
base_0008_threshold,base_0008,padded_shadow,threshold,calib,target,7,1,0,-0.757727861404419,-0.726477861404419,-0.03125,False,15,False,False
base_0009_affine,base_0009,global_shadow,affine,calib,source,3,6,8,-0.8979818224906921,-1.616731882095337,0.7187500596046448,True,21,True,False
base_0009_affine,base_0009,global_shadow,affine,calib,target,5,8,6,-1.4727115631103516,-0.7930241227149963,-0.6796874403953552,False,21,False,False
base_0009_threshold,base_0009,global_shadow,threshold,calib,source,3,0,1,-0.7326108813285828,-0.7013608813285828,-0.03125,False,16,False,False
base_0009_threshold,base_0009,global_shadow,threshold,calib,target,5,1,0,-0.8060262203216553,-0.6029012203216553,-0.203125,False,15,False,False
base_0010_affine,base_0010,call_frame,affine,test,source,7,8,5,-1.8265419006347656,-1.0140419006347656,-0.8125,False,20,False,False
base_0010_affine,base_0010,call_frame,affine,test,target,4,5,8,-1.061339020729065,-2.2800889015197754,1.2187498807907104,True,20,True,False
base_0010_threshold,base_0010,call_frame,threshold,test,source,7,1,0,-0.5887916684150696,-0.9012916684150696,0.3125,True,16,True,False
base_0010_threshold,base_0010,call_frame,threshold,test,target,4,0,1,-0.9719859957695007,-0.5032359957695007,-0.46875,False,16,False,False
base_0011_affine,base_0011,padded_shadow,affine,calib,source,2,5,7,-2.174114465713501,-1.736614465713501,-0.4375,False,16,False,False
base_0011_affine,base_0011,padded_shadow,affine,calib,target,3,7,5,-1.7899127006530762,-2.446162700653076,0.65625,True,16,False,False
base_0011_threshold,base_0011,padded_shadow,threshold,calib,source,2,0,1,-0.6992118954658508,-0.7929618954658508,0.09375,True,15,True,True
base_0011_threshold,base_0011,padded_shadow,threshold,calib,target,3,1,0,-0.6356105804443359,-0.8543605804443359,0.21875,True,16,True,True
base_0012_affine,base_0012,global_shadow,affine,test,source,3,5,9,-0.5752574801445007,-2.9190075397491455,2.3437500596046448,True,20,True,False
base_0012_affine,base_0012,global_shadow,affine,test,target,7,9,5,-4.384336471557617,-0.2280864119529724,-4.156250059604645,False,20,False,False
base_0012_threshold,base_0012,global_shadow,threshold,test,source,3,0,1,-0.5792086720466614,-0.8917086720466614,0.3125,True,15,True,False
base_0012_threshold,base_0012,global_shadow,threshold,test,target,7,1,0,-0.9634291529655457,-0.49467915296554565,-0.46875,False,15,False,False
base_0013_affine,base_0013,call_frame,affine,test,source,3,5,9,-1.2896579504013062,-1.6334079504013062,0.34375,True,20,True,False
base_0013_affine,base_0013,call_frame,affine,test,target,7,9,5,-2.3694913387298584,-0.6194913387298584,-1.75,False,20,False,False
base_0013_threshold,base_0013,call_frame,threshold,test,source,3,0,1,-0.8161909580230713,-0.6286909580230713,-0.1875,False,16,False,False
base_0013_threshold,base_0013,call_frame,threshold,test,target,7,1,0,-0.6459956169128418,-0.7709956169128418,0.125,True,16,True,False
base_0014_affine,base_0014,padded_shadow,affine,calib,source,7,8,6,-1.368053674697876,-2.618053674697876,1.25,True,16,False,False
base_0014_affine,base_0014,padded_shadow,affine,calib,target,5,6,8,-1.541801929473877,-1.448051929473877,-0.09375,False,23,False,False
base_0014_threshold,base_0014,padded_shadow,threshold,calib,source,7,1,0,-0.6383569836616516,-0.7946069836616516,0.15625,True,16,True,False
base_0014_threshold,base_0014,padded_shadow,threshold,calib,target,5,0,1,-0.7920891046524048,-0.6358391046524048,-0.15625,False,16,False,False
base_0015_affine,base_0015,global_shadow,affine,test,source,7,9,4,-1.1143827438354492,-5.051882743835449,3.9375,True,24,True,True
base_0015_affine,base_0015,global_shadow,affine,test,target,2,4,9,-3.2150747776031494,-3.7150747776031494,0.5,True,20,False,True
base_0015_threshold,base_0015,global_shadow,threshold,test,source,7,1,0,-0.612996518611908,-0.800496518611908,0.1875,True,16,True,True
base_0015_threshold,base_0015,global_shadow,threshold,test,target,2,0,1,-0.6373708248138428,-0.7623708248138428,0.125,True,15,True,True
base_0016_affine,base_0016,call_frame,affine,test,source,3,4,6,-0.8434058427810669,-1.312155842781067,0.46875,True,19,True,False
base_0016_affine,base_0016,call_frame,affine,test,target,5,6,4,-1.4144446849822998,-0.664444625377655,-0.7500000596046448,False,19,False,False
base_0016_threshold,base_0016,call_frame,threshold,test,source,3,0,1,-0.8208923935890198,-0.6646423935890198,-0.15625,False,16,False,False
base_0016_threshold,base_0016,call_frame,threshold,test,target,5,1,0,-0.6269538402557373,-0.8144538402557373,0.1875,True,16,True,False
base_0017_affine,base_0017,padded_shadow,affine,test,source,7,8,5,-1.2271528244018555,-3.4771528244018555,2.25,True,23,True,False
base_0017_affine,base_0017,padded_shadow,affine,test,target,4,5,8,-2.24442195892334,-1.4944219589233398,-0.75,False,23,False,False
base_0017_threshold,base_0017,padded_shadow,threshold,test,source,7,1,0,-0.6734340786933899,-0.7671840786933899,0.09375,True,16,True,False
base_0017_threshold,base_0017,padded_shadow,threshold,test,target,4,0,1,-0.8564485907554626,-0.5751985907554626,-0.28125,False,16,False,False
base_0018_affine,base_0018,global_shadow,affine,calib,source,4,6,7,-0.772428035736084,-1.334928035736084,0.5625,True,21,True,True
base_0018_affine,base_0018,global_shadow,affine,calib,target,5,7,6,-0.8882438540458679,-1.1382439136505127,0.2500000596046448,True,22,True,True
base_0018_threshold,base_0018,global_shadow,threshold,calib,source,4,0,1,-0.8801645040512085,-0.5676645040512085,-0.3125,False,16,False,False
