model,split,correct_only,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,statistic,role,token_identical,n_pairs,n_bases,mean_delta,median_delta,sd_delta,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,degenerate,sign_test_p,permutation_p,permutation_effect_size,mean_frac_from,mean_frac_to,same_target_token,median_abs_rho_minus_one
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,binding_shift,binding_shift,0,5,5,-0.00889328148089542,-0.007089429762746839,0.007199913582478934,-1.2351928087772213,-0.014848168690875997,-0.0038494364299019685,0.0,5,0,0.0625,0.066,-1.845825934442506,,,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,binding_shift_identical,binding_shift_identical,1,5,5,-0.007174878518658766,-0.006364490181813584,0.0040030127688449445,-1.7923696308191024,-0.010213617283929579,-0.004136139753387953,0.0,5,0,0.0625,0.066,-2.0790662354025713,,,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_both_defs,both_defs,0,5,5,0.00042870868960230845,0.0010371456744311947,0.007737914332575052,0.055403648990727604,-0.005074416932041494,0.006459625834313154,0.6,5,0,1.0,0.948,0.1058108239095363,0.3125600155839522,0.31298872427355445,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def,inner_def,0,5,5,-0.004232286395646556,-0.003769935243725278,0.006432369453967287,-0.6579669320822691,-0.009821292095817129,-8.071548751849011e-05,0.2,5,0,0.375,0.21,-1.343391793221347,0.023943885038002037,0.019711598642355478,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_identical,inner_def_identical,1,5,5,-0.0025138834334099015,-0.0024843531287828055,0.001197577511143349,-2.0991404815291257,-0.0033909778055955333,-0.0015525895323910584,0.0,5,0,0.0625,0.066,-2.083593246944733,0.007452810415307498,0.004938926981897596,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_name,inner_def_name,0,5,5,-0.001718402962236655,-0.0005163973706857946,0.0072990862843012455,-0.2354271336581632,-0.007909622803336621,0.002922474505067401,0.4,5,0,1.0,0.83,-0.5987613713661036,0.01649107462269454,0.014772671660457884,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_value,inner_def_value,1,5,5,-0.0025138834334099015,-0.0024843531287828055,0.001197577511143349,-2.0991404815291257,-0.0033909778055955333,-0.0015525895323910584,0.0,5,0,0.0625,0.066,-2.083593246944733,0.007452810415307498,0.004938926981897596,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_other,other,1,5,5,-0.002597139094903711,-0.004827989838372959,0.003906816559956204,-0.6647711903148135,-0.005502544701805489,0.00030826651199806766,0.4,5,0,1.0,0.254,-1.361570122826429,0.2961365402852853,0.29353940119038163,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def,outer_def,1,5,5,0.004660995085248865,0.005590130677545213,0.0038054776460237044,1.2248121047614298,0.0017846303912033346,0.007505690047505653,0.8,5,0,0.375,0.118,1.8822039354327884,0.28861613054595014,0.293277125631199,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def_name,outer_def_name,1,5,5,0.00801390108765716,0.007120759824574496,0.004745728143204439,1.6886557438256389,0.00443895336260256,0.011588848812711761,1.0,5,0,0.0625,0.066,2.0478534890172733,0.2984356232764722,0.3064495243641294,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def_value,outer_def_value,1,5,5,-0.003352906002408315,-0.004276477080987155,0.002474351444963973,-1.3550645803499164,-0.005066541323703222,-0.0012392968272287206,0.2,5,0,0.375,0.126,-1.885832127357079,-0.00981949273052211,-0.013172398732930423,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_question,question,1,5,5,0.00942230664888416,0.00872305775843868,0.00633129221299594,1.4882122530284485,0.004981827650555959,0.014725773154843769,1.0,5,0,0.0625,0.066,1.9028777018895955,0.338400408901247,0.34782271555013117,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_question_all,question_all,1,5,5,0.012217362842613788,0.010995396902943544,0.006621294244406411,1.845162349178919,0.007685105664724634,0.017971322760843223,1.0,5,0,0.0625,0.066,2.0052255955596068,0.3520732757826869,0.36429063862530064,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_question_var,question_var,1,5,5,0.002795056193729624,0.0026244126527186235,0.0005239068459112266,5.335025139570772,0.0023890986726083823,0.003201013714850866,1.0,5,0,0.0625,0.066,2.23463590774517,0.013672866881439871,0.016467923075169498,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_return_kw,return_kw,1,5,5,0.002775748207238573,0.0019478715410850465,0.0019250488706152851,1.4419105143815838,0.0013678666369140277,0.004386591054583384,1.0,5,0,0.0625,0.066,1.9122162835117578,-0.0031111096173850397,-0.0003353614101464672,1,1.6527870644322817e-07
deepseek-coder-1.3b,test,1,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_signature,signature,1,5,5,-0.005493546992827021,-0.008951291685880144,0.009077107022084929,-0.6052090142223754,-0.012044690165903291,0.002341560433766955,0.2,5,0,0.375,0.184,-1.2592804417308519,0.02977975538353026,0.02428620839070324,1,1.6527870644322817e-07
