pair_id,base_id,op_family,split,variant,answer_correct,logp_correct,logp_other,logit_diff,correct,argmax_token,argmax_is_correct,gates_required,gate_override,gate_override_reason
base_0000_add,base_0000,add,test,base,9,-2.8560612201690674,-1.6685612201690674,-1.1875,0,21,0,G0,False,
base_0000_add,base_0000,add,test,counter,7,-1.75571608543396,-3.50571608543396,1.75,1,21,0,G0,False,
base_0000_sub_from,base_0000,sub_from,test,base,1,-2.1354148387908936,-2.6041648387908936,0.46875,1,24,0,G0,False,
base_0000_sub_from,base_0000,sub_from,test,counter,3,-2.371691942214966,-2.184191942214966,-0.1875,0,24,0,G0,False,
base_0000_double_sub,base_0000,double_sub,test,base,7,-3.1440117359161377,-2.4565117359161377,-0.6875,0,16,0,G0,False,
base_0000_double_sub,base_0000,double_sub,test,counter,3,-2.5991387367248535,-3.0053887367248535,0.40625,1,16,0,G0,False,
base_0001_add,base_0001,add,calib,base,7,-1.796282410621643,-3.3275322914123535,1.5312498807907104,1,20,0,G0,False,
base_0001_add,base_0001,add,calib,counter,9,-2.5160796642303467,-1.7660796642303467,-0.75,0,20,0,G0,False,
base_0001_sub_from,base_0001,sub_from,calib,base,3,-2.208319664001465,-2.052069664001465,-0.15625,0,20,0,G0,False,
base_0001_sub_from,base_0001,sub_from,calib,counter,1,-1.9810556173324585,-2.512305736541748,0.5312501192092896,1,24,0,G0,False,
base_0001_double_sub,base_0001,double_sub,calib,base,5,-2.2143383026123047,-3.0268383026123047,0.8125,1,16,0,G0,False,
base_0001_double_sub,base_0001,double_sub,calib,counter,9,-3.1172842979431152,-2.4297842979431152,-0.6875,0,16,0,G0,False,
base_0001_mod,base_0001,mod,calib,base,1,-1.5127954483032227,-1.2002954483032227,-0.3125,0,18,0,G0,False,
base_0001_mod,base_0001,mod,calib,counter,3,-2.0295848846435547,-1.1858350038528442,-0.8437498807907104,0,16,0,G0,False,
base_0002_add,base_0002,add,test,base,8,-2.4650487899780273,-3.1837987899780273,0.71875,1,22,0,G0,False,
base_0002_add,base_0002,add,test,counter,9,-3.2209651470184326,-2.6584651470184326,-0.5625,0,21,0,G0,False,
base_0002_sub_from,base_0002,sub_from,test,base,2,-2.382051944732666,-1.944551944732666,-0.4375,0,20,0,G0,False,
base_0002_sub_from,base_0002,sub_from,test,counter,1,-2.0878448486328125,-2.2753448486328125,0.1875,1,19,0,G0,False,
