model,base_id,arm,split,layer,question,style,variant,delta_contrast_prob,delta_contrast_z,contrast_prob_inner_member,contrast_prob_outer_member,contrast_z_inner_member,contrast_z_outer_member,n_pairs_in_lexicon,delta_z_mechanism,delta_prob_mechanism,delta_z_control,delta_prob_control,delta_z_family_scope,delta_z_family_shadowing,delta_z_family_ordinal,delta_z_family_action
deepseek-coder-1.3b,base_0000,ab,calib,0,scope/direct,scope,direct,-3.719209146639535e-05,-0.0011000036975594152,0.00464119984151129,0.004678391932977685,0.2720546992690223,0.27315470296658173,10,-0.00492903114467115,-0.0001387694925778179,0.0007216003683247266,7.282497427999607e-05,-0.004288282229991738,-0.006020056336495105,0.004020587251394633,5.569326334222552e-05
deepseek-coder-1.3b,base_0000,ba,calib,0,scope/direct,scope,direct,-3.713055987469155e-05,-0.0010985971113577908,0.0046456624476519034,0.004682793007526595,0.27231940554025813,0.2734180026516159,10,-0.004928862982521965,-0.00013881687684870036,0.0007246785217049829,7.302255590674474e-05,-0.0042917748903767115,-0.0060021446695294745,0.004030451038961551,4.596000028704583e-05
deepseek-coder-1.3b,base_0001,ab,test,0,scope/direct,scope,direct,4.067063640222912e-05,0.0015256739923897866,0.0047999909267743,0.004759320290372071,0.2788107204633658,0.277285046470976,10,0.005492219198774693,0.00017313958699690475,0.00032792298229711195,-1.2877259312974636e-05,-0.00024833739656312387,0.013529623167811033,-0.005908564595459649,0.010223080064358247
deepseek-coder-1.3b,base_0001,ba,test,0,scope/direct,scope,direct,4.074136403824091e-05,0.0015296405786652811,0.004787003275382451,0.00474626191134421,0.2783035435368496,0.2767739029581843,10,0.005501803358837668,0.00017345816755499075,0.00032560698772509094,-1.2955306088697832e-05,-0.0002445114513883115,0.013560067518160024,-0.005903277185150777,0.010212107814749002
deepseek-coder-1.3b,base_0002,ab,calib,0,scope/direct,scope,direct,-9.358937881494972e-05,-0.005003873880718657,0.0044185593073638035,0.004512148686178753,0.2577250169872779,0.26272889086799656,10,-0.002477050472220709,-8.597763963461491e-05,0.000825602386832219,4.4845024910890145e-05,0.000178032146291595,-0.006821647134541475,-0.006287788816531081,-0.012532926904109065
deepseek-coder-1.3b,base_0002,ba,calib,0,scope/direct,scope,direct,-9.356373547832891e-05,-0.005002945511997259,0.004401309282567392,0.004494873018045721,0.25703922477617674,0.262042170288174,10,-0.0024795544018958466,-8.599168875179095e-05,0.0008302308924404609,4.4991301879657424e-05,0.00016454821598231237,-0.006821089251381196,-0.006277253685804882,-0.012517398837552533
deepseek-coder-1.3b,base_0003,ab,calib,0,scope/direct,scope,direct,-0.00021666758182415508,-0.009409708695798158,0.004563056872318949,0.004779724454143104,0.2666695837653991,0.2760792924611973,10,-0.010940729110703614,-0.0002924865997916831,0.0012052373243902274,4.5979784689185836e-05,-0.0063997776307881185,-0.022665652595843855,-0.006754882165864784,-0.012783838670695997
deepseek-coder-1.3b,base_0003,ba,calib,0,scope/direct,scope,direct,-0.00021660065210183516,-0.009415832217678277,0.004576414824995802,0.004793015477097637,0.2671867540134012,0.2766025862310795,10,-0.010919446394754027,-0.00029178982766000063,0.001198538148351999,4.561911856952269e-05,-0.006407244471489992,-0.02265762006021066,-0.006761504849565623,-0.012793604840957366
deepseek-coder-1.3b,base_0004,ab,test,0,scope/direct,scope,direct,0.00015513461246502436,0.005155783854602414,0.00477303678900011,0.004617902176535085,0.2778681243908132,0.2727123405362108,10,0.0038732069525175632,0.00010722440249431127,0.0009525944564089371,1.4223196768766051e-06,0.0008209357358130026,0.011021945973399006,0.005478967737869068,0.010407623207882695
deepseek-coder-1.3b,base_0004,ba,test,0,scope/direct,scope,direct,0.00015503929974051284,0.005150631834815067,0.004752016069395543,0.00459697676965503,0.2772072031725879,0.27205657133777283,10,0.003872149537631778,0.00010710716140918284,0.0009528478674518499,1.2366918412728013e-06,0.0008067318225837977,0.011036881101354923,0.005479246738418288,0.010402384870602025
