model,split,correct_only,layer,target_condition,statistic,role,token_identical,mean_delta_ab,mean_delta_ba,median_delta_ab,median_delta_ba,sign_consistency_ab,sign_consistency_ba,signs_agree,arm_ratio,both_significant_sign
deepseek-coder-6.7b,test,0,0,fixed_inner,binding_shift,binding_shift,0,-0.0027116874598382117,-0.002550009623414001,-0.002481748885117449,-0.002651253920500059,0.29642857142857143,0.3107142857142857,1,0.940377407493024,1
deepseek-coder-6.7b,test,0,0,fixed_inner,binding_shift_identical,binding_shift_identical,1,-0.0020632427828277933,-0.0019231691173879747,-0.0020141446329792288,-0.0019324786578602407,0.18571428571428572,0.23214285714285715,1,0.9321099452737018,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_both_defs,both_defs,0,0.00424211312871405,0.004212320727920516,0.004448441613067067,0.004102243654289628,0.8535714285714285,0.8321428571428572,1,0.9929769905022392,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_inner_def,inner_def,0,0.0007652128344379199,0.0008311555522532566,0.0008695275025632733,0.0008955818529021017,0.5571428571428572,0.5571428571428572,1,1.0861756557752644,0
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_inner_def_identical,inner_def_identical,1,0.0014136575114483388,0.001457996058279283,0.0012780840367281863,0.0014045793019563288,0.8857142857142857,0.9071428571428571,1,1.0313644192259255,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_inner_def_name,inner_def_name,0,-0.0006484446770104189,-0.0006268405060260263,-0.0008831086896257073,-0.0008123147394863621,0.42142857142857143,0.44285714285714284,1,0.9666830930219118,0
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_inner_def_value,inner_def_value,1,0.0014136575114483388,0.001457996058279283,0.0012780840367281863,0.0014045793019563288,0.8857142857142857,0.9071428571428571,1,1.0313644192259255,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_other,other,1,0.008195664817041233,0.00824457528918319,0.008292941210530452,0.008196273091656603,1.0,1.0,1,1.0059678468109454,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_outer_def,outer_def,1,0.0034769002942761323,0.003381165175667258,0.003562576413035451,0.003360322600336252,0.9285714285714286,0.9357142857142857,1,0.9724653828105226,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_outer_def_name,outer_def_name,1,0.003730474592245222,0.0036365355018877356,0.003787996296120699,0.003488940270080232,0.9714285714285714,0.9678571428571429,1,0.9748184612883402,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_outer_def_value,outer_def_value,1,-0.00025357429796908865,-0.0002553703262204759,-0.00022649165719785256,-0.00022660898504649044,0.375,0.35,1,1.0070828481662846,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_question,question,1,-0.012258197719636946,-0.01225596647844801,-0.0126875517215293,-0.01227063943447837,0.02142857142857143,0.0035714285714285713,1,0.9998179796704241,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_question_all,question_all,1,-0.012855759047226854,-0.0128552482971925,-0.013449034407313265,-0.012961083092427078,0.017857142857142856,0.0035714285714285713,1,0.9999602707212792,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_question_var,question_var,1,-0.0005975613275899054,-0.000599281818744488,-0.0005870032136019356,-0.0005575737201821132,0.16428571428571428,0.16071428571428573,1,1.0028791875831753,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_return_kw,return_kw,1,-0.001110576628480479,-0.0011013831259502373,-0.0012098988003768193,-0.0011363314326403484,0.16785714285714284,0.175,1,0.9917218656556633,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_signature,signature,1,0.007042822561142616,0.007038723663860564,0.007116679009819878,0.007159056090113106,1.0,1.0,1,0.9994180036133997,1
deepseek-coder-6.7b,test,0,0,fixed_inner,delta_frac_use_site,use_site,1,-0.005514295575070657,-0.005539002464800598,-0.005578100517037875,-0.005653065136588915,0.0,0.0,1,1.004480516032118,1
deepseek-coder-6.7b,test,0,0,fixed_outer,binding_shift,binding_shift,0,0.004132794270058633,0.004100471432120117,0.004683218595487993,0.0042635408871725435,0.775,0.8142857142857143,1,0.9921789385518923,1
deepseek-coder-6.7b,test,0,0,fixed_outer,binding_shift_identical,binding_shift_identical,1,0.0033161225608476404,0.0032730411976692087,0.0032783591613464226,0.003380491153816062,0.8964285714285715,0.9178571428571428,1,0.9870085129883077,1
deepseek-coder-6.7b,test,0,0,fixed_outer,delta_frac_both_defs,both_defs,0,0.00045300078971243537,0.00047656983080682545,0.00026446111058439636,0.0005500120526111263,0.5357142857142857,0.5392857142857143,1,1.0520286975864914,0
deepseek-coder-6.7b,test,0,0,fixed_outer,delta_frac_inner_def,inner_def,0,0.0022928975298855355,0.0022885206314634723,0.0026991545226641767,0.0020381924525602058,0.7392857142857143,0.7321428571428571,1,0.9980911059630817,1
deepseek-coder-6.7b,test,0,0,fixed_outer,delta_frac_inner_def_identical,inner_def_identical,1,0.0014762258206745434,0.0014610903970125643,0.0013547210330530665,0.0014945128712791035,0.8857142857142857,0.8428571428571429,1,0.9897472165504712,1
