model,split,correct_only,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,statistic,role,token_identical,n_pairs,n_bases,mean_delta,median_delta,sd_delta,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,degenerate,sign_test_p,permutation_p,permutation_effect_size,mean_frac_from,mean_frac_to,same_target_token,median_abs_rho_minus_one
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,binding_shift,binding_shift,0,280,280,-0.0027116874598382117,-0.002481748885117449,0.0045439651475591095,-0.5967667822661127,-0.0032209952055767283,-0.002161595327097113,0.29642857142857143,280,0,7.465967267017215e-12,0.0,-8.559823486224975,,,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,binding_shift_identical,binding_shift_identical,1,280,280,-0.0020632427828277933,-0.0020141446329792288,0.002476535065583913,-0.8331167248549842,-0.0023561692904770673,-0.0017678928196391515,0.18571428571428572,280,0,1.8765286870335615e-27,0.0,-10.03351090560883,,,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_both_defs,both_defs,0,280,280,0.00424211312871405,0.004448441613067067,0.0038887866786443325,1.0908577608563734,0.0037813123137020203,0.004720313372070819,0.8535714285714285,280,0,3.668420643421399e-35,0.0,12.243625023618062,0.28691358024382924,0.2911556933725433,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def,inner_def,0,280,280,0.0007652128344379199,0.0008695275025632733,0.0036230612608971215,0.21120615394961398,0.0003480719428409093,0.0012077782614937059,0.5571428571428572,280,0,0.06374641462739043,0.002,3.5644290076002005,0.005309430875114502,0.006074643709552421,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_identical,inner_def_identical,1,280,280,0.0014136575114483388,0.0012780840367281863,0.0012276849010359552,1.1514823634757214,0.0012715805981514685,0.0015565219426983967,0.8857142857142857,280,0,1.4488275813350064e-42,0.0,12.923234470717958,0.001838654057229146,0.0032523115686774852,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_name,inner_def_name,0,280,280,-0.0006484446770104189,-0.0008831086896257073,0.003528597757022432,-0.18376837533264256,-0.0010489389007718784,-0.00020698044196660115,0.42142857142857143,280,0,0.010051222979863298,0.004,-3.2466422265681913,0.0034707768178853554,0.0028223321408749366,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_value,inner_def_value,1,280,280,0.0014136575114483388,0.0012780840367281863,0.0012276849010359552,1.1514823634757214,0.0012715805981514685,0.0015565219426983967,0.8857142857142857,280,0,1.4488275813350064e-42,0.0,12.923234470717958,0.001838654057229146,0.0032523115686774852,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_other,other,1,280,280,0.008195664817041233,0.008292941210530452,0.002121095116506734,3.8638836859606784,0.007936280753364302,0.00843217848762962,1.0,280,0,1.0295115178936058e-84,0.0,16.08410572047487,0.28394255955681347,0.2921382243738547,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def,outer_def,1,280,280,0.0034769002942761323,0.003562576413035451,0.00218141413924622,1.5938744650649248,0.0032163582475193725,0.0037312990327513485,0.9285714285714286,280,0,2.0060528614727319e-54,0.0,13.68984460557319,0.28160414936871475,0.2850810496629909,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def_name,outer_def_name,1,280,280,0.003730474592245222,0.003787996296120699,0.0019312820774515212,1.9316052459658701,0.003506575644032647,0.00395530100479677,0.9714285714285714,280,0,8.98294867285059e-70,0.0,14.501107804841933,0.2790154160198319,0.2827458906120771,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def_value,outer_def_value,1,280,280,-0.00025357429796908865,-0.00022649165719785256,0.0007759442338413718,-0.32679448716791093,-0.0003439880935779677,-0.00016734062427599825,0.375,280,0,3.418612407196954e-05,0.0,-5.291422753141823,0.002588733348882864,0.0023351590509137748,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_question,question,1,280,280,-0.012258197719636946,-0.0126875517215293,0.004586995862380916,-2.6723803743032444,-0.012811349698545915,-0.011726162311149245,0.02142857142857143,280,0,6.673771397495326e-73,0.0,-15.61252774362984,0.40400889731322065,0.3917506995935838,1,1.4182235547055555e-07
deepseek-coder-6.7b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_question_all,question_all,1,280,280,-0.012855759047226854,-0.013449034407313265,0.004727324222880018,-2.719457866884951,-0.013425109323751716,-0.012308453206176021,0.017857142857142856,280,0,1.4506273862095442e-74,0.0,-15.557001219986743,0.4131460758164503,0.40029031676922344,1,1.4182235547055555e-07
