model,layer,site,pole,rank_within_pole,token_id,token,loading,overlap_with_same_label_direction
deepseek-coder-1.3b,-1,last_token,unsafe_higher,0,16,1,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,1,17,2,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,2,18,3,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,3,19,4,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,4,20,5,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,5,21,6,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,6,22,7,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,7,23,8,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,8,24,9,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,9,25,:,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,10,26,;,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,11,27,<,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,12,28,=,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,13,29,>,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,14,30,?,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,15,31,@,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,16,32224,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,17,32225,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,18,32226,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,19,32227,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,20,32228,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,21,32229,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,22,32230,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,23,32231,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,unsafe_higher,24,32232,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,0,32255,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,1,32254,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,2,32253,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,3,32252,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,4,32251,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,5,32250,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,6,32249,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,7,32248,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,8,32247,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,9,32246,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,10,32245,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,11,32244,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,12,32243,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,13,32242,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,14,32241,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,15,32240,,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,16,15,0,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,17,14,/,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,18,13,.,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,19,12,-,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,20,11,",",0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,21,10,+,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,22,9,*,0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,23,8,),0.0,1.0
deepseek-coder-1.3b,-1,last_token,safe_higher,24,7,(,0.0,1.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,0,2748,ura,0.026858285973682033,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,1,21931,稀,0.02156040184462698,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,2,15472, Natural,0.02071552181250338,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,3,18644, liberty,0.020014901881395635,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,4,30522,各自,0.019810620102790867,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,5,14138, optional,0.01962538909180027,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,6,10041,master,0.019490472403328133,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,7,7628,拥,0.0192498944043205,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,8,9003, breath,0.019134171196402996,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,9,13965,绪,0.018464972770128544,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,10,22567,雕,0.01844428085642148,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,11,28702,slave,0.018366566514618713,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,12,332,ur,0.01806719777326864,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,13,19181,Master,0.017906634139958334,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,14,25557,añ,0.01788570321063554,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,15,643,�,0.017761929331060248,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,16,509,ath,0.01774071053557253,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,17,26956, washed,0.017682358049041818,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,18,15545, Short,0.017607436728478528,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,19,17556,迫,0.017602595001822628,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,20,15598,制作,0.01757165358514882,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,21,20818,Drop,0.01747963280367992,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,22,24883,clone,0.017436711829761767,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,23,1259, det,0.01738680512687491,0.0
deepseek-coder-1.3b,-1,sink_arg,unsafe_higher,24,26981,ô,0.01727511160128305,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,0,9123,lies,-0.030498919021728636,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,1,25702,typen,-0.024808869855171025,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,2,26151,berries,-0.024688850020466554,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,3,18958,lemn,-0.023735903610358693,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,4,1237,mathb,-0.02332587360158245,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,5,18331,bigr,-0.023170374704632637,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,6,7164,uest,-0.02198568372134377,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,7,3446,ibility,-0.021646552549766683,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,8,25327,imb,-0.02116235957566286,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,9,29404,uted,-0.020942544166240303,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,10,30874,willing,-0.020761881083654784,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,11,26442,Sidenote,-0.020622477303000177,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,12,15868,ilty,-0.020564542239287716,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,13,9252,eness,-0.020547805081787805,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,14,11595,curs,-0.020372903144054055,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,15,24558,徽,-0.02023923635218054,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,16,6371,amily,-0.020174873073221338,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,17,21095,tsd,-0.020058344208497787,0.0
deepseek-coder-1.3b,-1,sink_arg,safe_higher,18,14516,Dels,-0.02003813664843125,0.0
