model,base_id,split,arm,binding,n_tokens_bare,n_tokens_prompt,use_index,mutation_index,use_minus_mutation,use_token_id,scored_text_is_program,bare_prefix_matches_prompt,use_is_last_bare,use_token_identical,one_token_mutation,mutation_distance_ok,ok
deepseek-coder-6.7b,base_0000,test,ab,source,16,21,15,9,6,1670,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0000,test,ab,target,16,21,15,9,6,1670,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0000,test,ba,source,16,21,15,9,6,1670,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0000,test,ba,target,16,21,15,9,6,1670,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0001,test,ab,source,16,21,15,9,6,521,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0001,test,ab,target,16,21,15,9,6,521,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0001,test,ba,source,16,21,15,9,6,521,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0001,test,ba,target,16,21,15,9,6,521,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0002,calib,ab,source,16,21,15,9,6,353,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0002,calib,ab,target,16,21,15,9,6,353,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0002,calib,ba,source,16,21,15,9,6,353,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0002,calib,ba,target,16,21,15,9,6,353,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0003,test,ab,source,16,21,15,9,6,270,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0003,test,ab,target,16,21,15,9,6,270,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0003,test,ba,source,16,21,15,9,6,270,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0003,test,ba,target,16,21,15,9,6,270,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0004,test,ab,source,16,21,15,9,6,521,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0004,test,ab,target,16,21,15,9,6,521,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0004,test,ba,source,16,21,15,9,6,521,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0004,test,ba,target,16,21,15,9,6,521,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0005,test,ab,source,16,21,15,9,6,353,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0005,test,ab,target,16,21,15,9,6,353,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0005,test,ba,source,16,21,15,9,6,353,True,True,True,True,True,True,True
deepseek-coder-6.7b,base_0005,test,ba,target,16,21,15,9,6,353,True,True,True,True,True,True,True
