lens,layer,family,read,n,median_rank,mean_margin,pass@1,pass@10,pass@25
j-lens,0,alias,answer,10,755.5,2.3501953125,0.0,0.0,0.0
j-lens,1,alias,answer,10,864.0,2.147705078125,0.0,0.0,0.0
j-lens,2,alias,answer,10,578.0,3.2666015625,0.0,0.0,0.0
j-lens,3,alias,answer,10,790.0,2.68955078125,0.0,0.0,0.0
j-lens,4,alias,answer,10,1358.0,2.890625,0.0,0.0,0.0
j-lens,5,alias,answer,10,309.5,4.871484375,0.0,0.0,0.0
j-lens,6,alias,answer,10,337.5,4.08515625,0.0,0.0,0.0
j-lens,7,alias,answer,10,246.0,4.669921875,0.0,0.0,0.0
j-lens,8,alias,answer,10,246.5,4.589996337890625,0.0,0.0,0.0
j-lens,9,alias,answer,10,690.5,2.6486328125,0.0,0.0,0.0
j-lens,10,alias,answer,10,126.0,3.32041015625,0.0,0.0,0.2
j-lens,11,alias,answer,10,34.0,3.81640625,0.0,0.0,0.2
j-lens,12,alias,answer,10,30.5,3.4703125,0.0,0.0,0.3
j-lens,13,alias,answer,10,35.0,3.979296875,0.0,0.1,0.3
j-lens,14,alias,answer,10,46.5,3.844140625,0.1,0.1,0.3
j-lens,15,alias,answer,10,5.5,6.078759765625,0.0,0.8,0.9
j-lens,16,alias,answer,10,2.0,6.7890625,0.0,0.8,0.9
j-lens,17,alias,answer,10,0.0,8.625146484375,0.7,1.0,1.0
j-lens,18,alias,answer,10,0.0,10.2220703125,0.8,1.0,1.0
j-lens,19,alias,answer,10,0.0,13.373046875,1.0,1.0,1.0
j-lens,20,alias,answer,10,0.0,18.1548828125,1.0,1.0,1.0
j-lens,21,alias,answer,10,0.0,14.05234375,1.0,1.0,1.0
j-lens,22,alias,answer,10,0.0,16.45699462890625,1.0,1.0,1.0
j-lens,0,alias,use,10,3139.5,-0.069921875,0.0,0.0,0.0
j-lens,1,alias,use,10,4292.5,-1.10859375,0.0,0.0,0.0
j-lens,2,alias,use,10,1266.5,0.9820068359375,0.0,0.0,0.0
j-lens,3,alias,use,10,1865.0,1.244921875,0.0,0.0,0.0
j-lens,4,alias,use,10,1028.5,0.82001953125,0.0,0.0,0.0
j-lens,5,alias,use,10,1334.5,2.01103515625,0.0,0.0,0.0
j-lens,6,alias,use,10,2589.0,1.5398651123046876,0.0,0.0,0.0
j-lens,7,alias,use,10,2335.0,1.57244873046875,0.0,0.0,0.0
j-lens,8,alias,use,10,2346.0,1.5115234375,0.0,0.0,0.0
j-lens,9,alias,use,10,4775.0,-0.2171875,0.0,0.0,0.0
j-lens,10,alias,use,10,1662.5,0.9365234375,0.0,0.0,0.0
j-lens,11,alias,use,10,2412.5,0.650390625,0.0,0.0,0.0
j-lens,12,alias,use,10,2827.0,0.1931640625,0.0,0.0,0.0
j-lens,13,alias,use,10,2315.0,0.36875,0.0,0.0,0.0
j-lens,14,alias,use,10,2900.0,-0.371875,0.0,0.0,0.0
j-lens,15,alias,use,10,2042.0,0.45625,0.0,0.0,0.0
j-lens,16,alias,use,10,3499.0,0.0578125,0.0,0.0,0.0
